ACCE_ABSORB_COST	Costo dell'assorbimento: %d
DETAILS_TOOLTIP_29	Riduce il danno che viene inflitto da determinati mostri.
DETAILS_TOOLTIP_3	Forza contro Orchi: infligge una maggiore quantità di danni agli Orchi.
DETAILS_TOOLTIP_30	Incrementa il danno che provochi tramite la forza del fulmine.
DETAILS_TOOLTIP_31	Incrementa il danno che provochi tramite la forza del ghiaccio.
DETAILS_TOOLTIP_32	Incrementa il danno che provochi tramite la forza dell'oscurità.
DETAILS_TOOLTIP_33	Incrementa il danno che provochi tramite la forza del fuoco.
DETAILS_TOOLTIP_34	Incrementa il danno che provochi tramite la forza del vento.
DETAILS_TOOLTIP_35	Incrementa il danno che provochi tramite la forza della terra.
DETAILS_TOOLTIP_36	Forte contro i guerrieri: infligge una maggiore quantità di danni ai guerrieri.
DETAILS_TOOLTIP_37	Forte contro i ninja: infligge una maggiore quantità di danni ai ninja.
DETAILS_TOOLTIP_38	Forte contro i sura: infligge una maggiore quantità di danni ai sura.
DETAILS_TOOLTIP_39	Forte contro gli shamani: infligge una maggiore quantità di danni agli shamani.
DETAILS_TOOLTIP_4	Forte contro gli Zombie: infligge una maggiore quantità di danni agli Zombie.
DETAILS_TOOLTIP_40	Forte contro i lican: infligge una maggiore quantità di danni ai lican.
DETAILS_TOOLTIP_41	Probabilità di difesa dagli attacchi dei guerrieri: riduce il danno che viene inflitto dai guerrieri.
DETAILS_TOOLTIP_42	Probabilità di difesa dagli attacchi dei ninja: riduce il danno che viene inflitto dai ninja.
DETAILS_TOOLTIP_43	Probabilità di difesa dagli attacchi dei sura: riduce il danno che viene inflitto dai sura.
DETAILS_TOOLTIP_44	Probabilità di difesa dagli attacchi degli shamani: riduce il danno che viene inflitto dagli shamani.
DETAILS_TOOLTIP_45	Probabilità di difesa dagli attacchi dei lican: riduce il danno che viene inflitto dai lican.
DETAILS_TOOLTIP_46	Riduce il danno che viene inflitto da una spada.
DETAILS_TOOLTIP_47	Riduce il danno che viene inflitto da un'arma a due mani.
DETAILS_TOOLTIP_48	Riduce il danno che viene inflitto da un pugnale.
DETAILS_TOOLTIP_49	Riduce il danno che viene inflitto da un artiglio.
DETAILS_TOOLTIP_5	Forte contro i mostri: infligge una maggiore quantità di danni ai mostri.
DETAILS_TOOLTIP_50	Riduce il danno che viene inflitto da una campana.
DETAILS_TOOLTIP_51	Riduce il danno che viene inflitto da un ventaglio.
DETAILS_TOOLTIP_52	Riduce il danno che viene inflitto da una freccia e da un arco.
DETAILS_TOOLTIP_53	Aumenta la probabilità di far svenire un avversario.
DETAILS_TOOLTIP_54	Aumenta la probabilità di rallentare un avversario.
DETAILS_TOOLTIP_55	Aumenta la probabilità di avvelenare un avversario.
DETAILS_TOOLTIP_56	Riduce il danno che viene inflitto da un veleno.
DETAILS_TOOLTIP_57	Aumenta la probabilità di mettere a segno un attacco sanguinante.
DETAILS_TOOLTIP_58	Resistenza all'attacco sanguinante: riduce il danno che viene inflitto da un attacco sanguinante.
DETAILS_TOOLTIP_59	Quando colpisci il tuo avversario, gli sottrae HP.
DETAILS_TOOLTIP_6	Forte contro i mostri dello zodiaco: infligge una maggiore quantità di danni ai mostri Zodiaco.
DETAILS_TOOLTIP_60	Quando colpisci il tuo avversario, gli sottrae MP.
DETAILS_TOOLTIP_61	Accelera la rigenerazione dei tuoi punti vita.
DETAILS_TOOLTIP_62	Accelera la rigenerazione dei tuoi punti mana.
DETAILS_TOOLTIP_63	Probabilità di bloccare attacchi nella lotta corpo a corpo: aumenta la probabilità di schivare un attacco corpo a corpo.
DETAILS_TOOLTIP_64	Probabilità di schivare frecce: aumenta la probabilità di schivare l'attacco, a distanza o con frecce, di un mostro.
DETAILS_TOOLTIP_65	Probabilità di riflettere un colpo nella lotta corpo a corpo: una parte del danno della lotta corpo a corpo viene restituito all'avversario.
DETAILS_TOOLTIP_66	Ripristino HP quando si uccide: quando uccidi un avversario, i tuoi punti vita aumentano.
DETAILS_TOOLTIP_67	Ripristino MP quando si uccide: quando uccidi un avversario, i tuoi punti mana aumentano.
DETAILS_TOOLTIP_68	Probabilità di ricevere esperienza doppia: aumenta la probabilità di ricevere un bonus EXP quando hai sconfitto un avversario.
DETAILS_TOOLTIP_69	Probabilità di droppare il doppio degli Yang: aumenta la tua probabilità di ricevere il doppio degli Yang.
DETAILS_TOOLTIP_7	Forte contro gli animali: infligge una maggiore quantità di danni agli animali selvatici.
DETAILS_TOOLTIP_70	Probabilità di droppare oggetti: aumenta la probabilità di ottenere il doppio degli oggetti.
DETAILS_TOOLTIP_71	Incrementa il tuo valore d'attacco.
DETAILS_TOOLTIP_72	Incrementa il tuo valore di difesa
DETAILS_TOOLTIP_73	Aumenta la raccolta di esperienza.
DETAILS_TOOLTIP_74	Probabilità di droppare oggetti: raddoppia la tua probabilità di ottenere oggetti.
DETAILS_TOOLTIP_75	Probabilità di droppare Yang: incrementa la tua probabilità di ottenere più Yang.
DETAILS_TOOLTIP_76	Riduce il danno che subisci tramite attacco magico.
DETAILS_TOOLTIP_77	Riduce la resistenza magia del tuo avversario.
DETAILS_TOOLTIP_8	Forte contro gli esoterici: infligge una maggiore quantità di danni agli esoterici.
DETAILS_TOOLTIP_9	Forte contro i diavoli: infligge una maggiore quantità di danni ai diavoli.
DETAILS_TOOLTIP_ATTBONUS_BELL	Interruzione della difesa campana: riduce la difesa campana dell'avversario.
DETAILS_TOOLTIP_ATTBONUS_BOW	Interruzione della difesa freccia: riduce la difesa freccia dell'avversario.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Interruzione della difesa artigli: riduce la difesa artigli dell'avversario.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Interruzione della difesa pugnale: riduce la difesa pugnale dell'avversario.
DETAILS_TOOLTIP_ATTBONUS_FAN	Interruzione della difesa ventaglio: riduce la difesa ventaglio dell'avversario.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Interruzione della difesa spada: riduce la difesa spada dell'avversario.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Interruzione della difesa spadone: riduce la difesa spadone dell'avversario.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Resistenza alla caduta: riduce la probabilità di cadere dalla cavalcatura.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Non è possibile spostare gli oggetti mentre è in corso una richiesta.
DO_NOT_INSERT_UPBRINGING_PET	Non è possibile selezionare il pet attivo.
DO_YOU_BUY_ITEM1	Vuoi acquistare %s per %s Yang?
DO_YOU_BUY_ITEM2	Vuoi acquistare %s (%s unità) per %s Yang?
DO_YOU_BUY_ITEM3	Desideri comprare %s per %s Won e %s Yang?
DO_YOU_BUY_ITEM4	Desideri comprare %s (%s unità) per %s Won e %s Yang?
DO_YOU_DROP_MONEY	Desideri lasciar cadere %d Yang?
DO_YOU_SELL_ITEM1	Vuoi vendere %s per %s Yang?
DO_YOU_SELL_ITEM2	Vuoi vendere %s (%s unità) per %s Yang?
DRAGON_SOUL_CANNOT_REFINE	Non puoi raffinare questa Pietra del Drago.
DRAGON_SOUL_CANNOT_REFINE_MORE	Questa Pietra del Drago ha già raggiunto il livello più alto.
DRAGON_SOUL_EQUIP_WARNING1	È difficile eliminare nuovamente una Pietra del Drago.
DRAGON_SOUL_EQUIP_WARNING2	Vorresti continuare?
DRAGON_SOUL_EXPIRED	Pietra del Drago scaduta
DRAGON_SOUL_INVALID_DRAGON_SOUL	È la Pietra del Drago sbagliata.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Questa non è una Pietra del Drago.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Non è la giusta Pietra del Drago.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Non hai materiale a sufficienza per il raffinamento.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL2	Per la %s\n serve questo item: %s (%d)
DRAGON_SOUL_NOT_ENOUGH_MONEY	Non hai abbastanza Yang per modificare il bonus.
DRAGON_SOUL_NOT_MATCHED_SLOT	La Pietra del Drago non va bene per questo slot.
DRAGON_SOUL_STEP_LEVEL1	Purezza: opaco,
DRAGON_SOUL_STEP_LEVEL2	Purezza: chiaro,
DRAGON_SOUL_STEP_LEVEL3	Purezza: limpido,
DRAGON_SOUL_STEP_LEVEL4	Purezza: brillante,
DRAGON_SOUL_STEP_LEVEL5	Purezza: eccellente,
DRAGON_SOUL_STRENGTH	Livello: +%d 	SA
DRAGON_SOUL_UNEQUIP_WARNING1	La Pietra del Drago potrebbe distruggersi in questo processo.
DRAGON_SOUL_UNEQUIP_WARNING2	Vorresti continuare?
DRAGON_SOUL_UNMATCHED_SLOT	Questo è lo slot sbagliato.
DRAGON_SOUL_UNQUALIFIED	Non puoi ancora utilizzare l'alchimia delle Pietre del drago.
DROP_ITEM_FAILURE_EQUIP_ITEM	Non puoi lasciar cadere un oggetto che è in uso.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Non puoi lasciar cadere un oggetto se hai un negozio privato aperto.
DROP_MONEY_FAILURE_1000_OVER	Puoi lasciar cadere massimo 999 Yang.
DS_SYSTEM_MSG_1	Ecco cosa ti serve: %s (%dx).
DUTCH_AUCTION_CLOSE_OTHER_WINDOW	Prima di aprire l'Asta lampo è necessario chiudere tutte le finestre.
EMOTION_ALCOHOL	Salute!
EMOTION_ANGRY	Arrabbiato
EMOTION_ATTRACTIVE	Seduzione
EMOTION_BANTER	Scherzoso
EMOTION_BUSY	Stress
EMOTION_CALL	Chiamata
EMOTION_CELEBRATION	Party
EMOTION_CHARGING	Carica
EMOTION_CHEERS_1	Esulto 1
EMOTION_CHEERS_2	Esulto 2
EMOTION_CHEERUP	Gioire
EMOTION_CHOOSE_ONE	Scegli bersaglio.
EMOTION_CLAP	Applauso
EMOTION_CLAP_KISS	Bacio
EMOTION_CONGRATULATION	Approvazione
EMOTION_DANCE_1	Ballare 1
EMOTION_DANCE_2	Ballare 2
EMOTION_DANCE_3	Ballare 3
EMOTION_DANCE_4	Ballare 4
EMOTION_DANCE_5	Ballare 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_DANCE_7	Samba
EMOTION_DOZE	Pisolino
EMOTION_EXERCISE	Riscaldamento
EMOTION_FORGIVE	Perdono
EMOTION_FRENCH_KISS	Bacio con la lingua
EMOTION_HUNGRY	Fame
EMOTION_JOY	Felicita'
EMOTION_LETTER	Lettera d'amore
EMOTION_NOSAY	Senza parole
EMOTION_PUSH_UP	Flessione
EMOTION_SAD	Triste
EMOTION_SELFIE	Selfie
EMOTION_SHY	Rifiuto
EMOTION_SIREN	Sirena
EMOTION_SLAP	Colpo
EMOTION_WEATHER_1	Sole
EMOTION_WEATHER_2	Arcobaleno
EMOTION_WEATHER_3	Luna
EMOTION_WHIRL	Confusione
EMPIRE_A	Regno Shinsoo
EMPIRE_B	Regno Chunjo
EMPIRE_C	Regno Jinno
EMPIRE_SELECT_MODE	Seleziona regno
EXCHANGE_CANNOT_GIVE	Quest'oggetto non è commerciabile.
EXCHANGE_CANT_EDIT_MONEY	Non puoi modificare il prezzo ora.
EXCHANGE_FAILURE_EQUIP_ITEM	Non puoi scambiare gli oggetti in uso.
EXCHANGE_MONEY	Prezzo
EXCHANGE_TITLE	Commercia con %s (%d)
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	Ampliamenti dell'inventario mancanti: %d.
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Il tuo inventario ha già raggiunto il numero massimo di Ampliamenti.
EXINVEN_USE_ITEM_QUESTION	Desideri ampliare il tuo inventario con %d Ampliamenti dell'inventario?
FINDM_BUTTON_01	Ritira
FINDM_BUTTON_02	Migliora
FINDM_POPUP_01	Non hai tutti gli oggetti che servono per avviare il minigioco.
FINDM_POPUP_02	Non hai abbastanza %s.
FINDM_POPUP_03	Non si può più utilizzare.
FINDM_POPUP_04	Questa è già la ricompensa migliore.
FINDM_POPUP_05	Non hai abbastanza Yang per il minigioco.
FINDM_POPUP_06	Se non le giri entro %d secondi, le tre carte vengono girate automaticamente.
FINDM_QUESTION_01	Consumerai %d Yang e %s.\nContinuare?
FINDM_QUESTION_02	Riprovare e utilizzare %s %d?
FINDM_QUESTION_03	Ricompensa: %s
FINDM_QUESTION_04	Nuovo tentativo? In caso di insuccesso, l'attuale ricompensa rimane comunque tua.
FINDM_QUESTION_05	Terminare la partita e ottenere la ricompensa?
FINDM_TOOLTIP_01	Se nell'arco di tempo indicato non effettui alcuna scelta, verranno girate automaticamente tre carte.
FISHING_FAILURE	Hai perso l'esca.
FISHING_NOTIFY1	Sembrerebbe che %s abbia abboccato.
FISHING_NOTIFY2	Sembrerebbe che %s sia stato catturato.
FISHING_RENEWAL_CANNOT_EMOTION	Mentre si sta pescando non è possibile utilizzare le emozioni.
FISHING_RENEWAL_CANNOT_OPEN_1	Non si può aprire mentre si sta pescando.
FISHING_RENEWAL_CANNOT_OPEN_2	Non è possibile eseguire questa azione mentre si sta pescando.
FISHING_RENEWAL_QUESTION	Un pesce ha abboccato. Vuoi catturarlo?
FISHING_RENEWAL_TIMEOUT	Hai tentennato troppo. Il pesce è scappato.
FISHING_SUCCESS1	Ne hai catturati %s!
FISHING_SUCCESS2	Hai pescato %s!
FISHING_UNKNOWN	Qualcosa ha abboccato ma non sai cosa sia.
FISHING_WRONG_PLACE	Qui non posso pescare.
FLOWER_EVENT_USE_ITEM_TEXT1	Vuoi sostituire l'effetto attivato?
FLOWER_EVENT_USE_ITEM_TEXT2	Il tentativo potrebbe non andare a buon fine; il fiore appassisce.
FOR_FEMALE	Per Donne
FOR_MALE	Per Uomini
FRAGMENT_COMB_COST	Costo combinazione: %s
GAME_CANNOT_MINING	Non puoi estrarre minerali mentre sei a cavallo.
GAME_CANNOT_PICK_ITEM	Non puoi raccogliere l'oggetto perchè non lo hai razziato tu.
GAME_GUILDWAR_NOW_JOIN	Vuoi partecipare alla guerra tra gilde?
GAME_INIT_ERROR_CURSOR	Non si è potuto creare la freccia del mouse.
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 deve essere installata per poter eseguire il gioco.\nInstalla DirectX 8.1 o maggiore.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Non è stata trovata nessuna scheda grafica compatibile con il gioco.\nControlla che la tua scheda VGA sia installata correttamente.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Non è stato possibile eseguire la grafica.\nControlla se possiedi una scheda VGA.\nIn alternativa puoi attivare l'accelerazione Hardware \n(Metti l'accelerazione Hardware al massimo \nPannello di controllo->Schermo->Impostazioni->Avanzate->Risoluzione problemi)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	La scheda grafica del PC non supporta la modalità finestra in 32bit.\nModifica in modalità 16bit o usa la modalità a tutto schermo.
GAME_INIT_ERROR_ITEM_PROTO	I dati degli oggetti non sono disponibili.\nInstalla nuovamente il gioco.
GAME_INIT_ERROR_MAIN_WINDOW	Non è stato possibile creare la finestra principale.
GAME_INIT_ERROR_MOB_PROTO	I dati dei mostri non sono disponibili.\nInstalla nuovamente il gioco.
GAME_INIT_ERROR_NETWORK	Non è stato possibile creare la connessione.\nControlla la tua connessione ad internet.
GAME_PICK_MONEY	Hai ricevuto %d Yang.
GEM_SYSTEM_ADD_SLOT	Oggetto richiesto: %s.\nVuoi usarne %d per aprire un ulteriore spazio?
GEM_SYSTEM_BUY_ITEM	Vuoi comprare questo oggetto?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] Non hai abbastanza "Resetta Negozio di Gaya".
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] Non hai abbastanza Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Non è possibile aggiungere altri spazi.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Apri innanzitutto il Negozio di Gaya.
GEM_SYSTEM_PICK_GEM	[Gaya] Quantità di Gaya: %d
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Vuoi resettare?
GIVEUP_QUESTION	Vuoi davvero arrenderti?
GUILDBANK_CLEARBANK	Attenzione: si deve svuotare il Magazzino della Gilda
GUILDBANK_DONT_MONEY_OUT	Nella banca della gilda non ci sono Yang.
GUILDBANK_GOLD_IN	Versamento
GUILDBANK_GOLD_OUT	Prelievo
GUILDBANK_ITEM_IN	Deposita
GUILDBANK_ITEM_OUT	Metti in vendita
GUILDBANK_MONEYIN	Versa Yang
GUILDBANK_MONEYOUT	Preleva Yang
GUILDBANK_NOTUSE	Non possiedi i diritti per eseguire questa azione.
GUILDBANK_NOT_ENOUGH_MONEY	Non ha molti Yang da versare.
GUILDBANK_OVER_INCOME	È stato raggiunto il limite del conto.
GUILDBANK_OVER_MONEY	Il conto della gilda è pieno.
GUILDLAND_ABANDON	Cedi terreno della gilda
GUILDLAND_ABANDON_VOTE	Cedi il terreno della tua gilda [%s].
GUILDLAND_ABANDON_VOTE_RESULT1	Si è ceduto il terreno della gilda [%s].
GUILDLAND_ABANDON_VOTE_RESULT2	Il terreno della gilda è stato ceduto.
GUILDLAND_ABANDON_VOTE_RESULT3	Risultato del sondaggio:
GUILDLAND_ABANDON_VOTE_RESULT4	Il sondaggio non è valido.
GUILDLAND_ABANDON_VOTE_TEXT	Vuoi davvero iniziare il sondaggio?
GUILDLAND_ABANDON_VOTE_TEXT1	Voti a favore della cessione del terreno della gilda?
GUILDLAND_ACCEPT	Sì
GUILDLAND_DEAL	Vendi terreno della gilda
GUILDLAND_DEAL_TEXT1	La gilda [%s] vuole vendere
GUILDLAND_DEAL_TEXT2	il proprio terreno della gilda per %s Yang.
GUILDLAND_DEAL_TEXT3	Accetti l'offerta?
GUILDLAND_DELA_VOTE	La gilda [%s] vuole acquistare il nostro terreno.
GUILDLAND_DELA_VOTE_RESULT1	Vendita del terreno alla gilda [%s].
GUILDLAND_DELA_VOTE_RESULT2	Il sondaggio è terminato.
GUILDLAND_DELA_VOTE_RESULT3	Risultato del sondaggio per la vendita del terreno:
GUILDLAND_DELA_VOTE_RESULT4	Il sondaggio non è valido.
GUILDLAND_DELA_VOTE_TEXT	A quale gilda vuoi vendere il terreno della gilda?
GUILDLAND_DELA_VOTE_TEXT1	Voti a favore della vendita del terreno della gilda?
GUILDLAND_DONTHAVE_LAND	Non possiedi alcun terreno della gilda.
GUILDLAND_NOT	No
GUILDLAND_VOTE_TEXT	Vuoi cedere il terreno a [%s]?
GUILDLIST_APPLICANT	Vuoi candidarti?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	L'altezza non è di 128 Pixel
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	L'altezza non è di 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	La larghezza non è di 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	La larghezza non è di 64 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Il gioco non supporta questa immagine.
GUILDMARK_UPLOADER_ERROR_PATH	Sposta il file nella cartella metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Non hai scelto nessuna immagine.
GUILDVOTE_CHANGEMASTER	Cambia Capo della gilda
GUILDVOTE_CHANGEMASTER_RESULT1	La gilda è stata ceduta con successo.
GUILDVOTE_CHANGEMASTER_RESULT2	Ti è stata ceduta la gilda [%s].
GUILDVOTE_CHANGEMASTER_RESULT3	Cedi la gilda al membro [%s].
GUILDVOTE_CHANGEMASTER_RESULT4	Il sondaggio non è valido.
GUILDVOTE_CHANGEMASTER_RESULT5	Nuovo Capo della gilda: %s
GUILDVOTE_CHANGEMASTER_TEXT1	Vuoi cedere la gilda a [%s]?
GUILDVOTE_CHANGEMASTER_TEXT2	
GUILDVOTE_CHANGEMASTER_TEXT3	Vuoi davvero rinunciare alla dirigenza della gilda?
GUILDVOTE_CHANGEMASTER_TEXT4	
GUILDVOTE_CHANGEMASTER_VOTETEXT1	Cedi la gilda al membro [%s].
GUILDVOTE_CHANGEMASTER_VOTETEXT2	Voti a favore della cessione della gilda?
GUILDVOTE_MEMBEROUT	Espelli membro
GUILDVOTE_MEMBEROUT_AUTH	Non possiedi i diritti per eseguire questa azione.
GUILDVOTE_MEMBEROUT_NOMAL	Vuoi davvero allontanare questo membro?
GUILDVOTE_MEMBEROUT_RESULT1	Membro allontanato: [%s]
GUILDVOTE_MEMBEROUT_RESULT2	Risultato del sondaggio
GUILDVOTE_MEMBEROUT_RESULT3	Ti hanno espulso dalla gilda [%s].
GUILDVOTE_MEMBEROUT_RESULT4	Risultato del sondaggio
GUILDVOTE_MEMBEROUT_RESULT5	Il sondaggio non è valido.
GUILDVOTE_MEMBEROUT_TEXT1	Vuoi iniziare il sondaggio contro [%s]?
GUILDVOTE_MEMBEROUT_TEXT2	Sondaggio: espellere questo membro dalla gilda?
GUILDVOTE_MEMBEROUT_VOTETEXT1	Sondaggio: si deve espellere [%s] dalla gilda?
GUILDVOTE_MEMBEROUT_VOTETEXT2	
GUILDVOTE_NO	Contro
GUILDVOTE_OK	A favore
GUILDVOTE_RESULT_AGGRE_MEMBER	Favorevoli: %d
GUILDVOTE_RESULT_ALL_MEMBER	Partecipanti: %d
GUILDVOTE_RESULT_OPPESE_MEMBER	Contrari: %d
GUILDVOTE_RESULT_TIME	%d giorni %d ore %d minuti %d secondi
GUILDVOTE_SELECT_ONE	Scegli un personaggio.
GUILDWAR_ALL	Combattimenti (C)
GUILDWAR_CTF_TITLE	Battaglia per la bandiera
GUILDWAR_DRAW	Parità (P)
GUILDWAR_GAINSCORE_FIFTY	50 punti
GUILDWAR_GAINSCORE_HUNDRED	100 punti
GUILDWAR_GAINSCORE_THIRTY	30 punti
GUILDWAR_GAMETIME_SIXTY	60 minuti
GUILDWAR_GAMETIME_TEN	10 minuti
GUILDWAR_GAMETIME_THIRTY	30 minuti
GUILDWAR_INPUT_OTHERGUILD	Registra gilda avversaria.
GUILDWAR_LADDER	Punti karma
GUILDWAR_LIMIT_MEMBER_FIVE	Numero minimo di partecipanti: 5.
GUILDWAR_LOSE	Sconfitta (S)
GUILDWAR_NORMAL_TITLE	Battaglia campale
GUILDWAR_OVER_MEMBERCOUNT	Hai raggiunto il limite di membri.
GUILDWAR_QUESTION_LINE_1	La Gilda %s ha dichiarato guerra alla tua Gilda.
GUILDWAR_QUESTION_LINE_2	Accetti? (%s)
GUILDWAR_RANKING	Rango
GUILDWAR_RECODE_ALL	%d C; %d V; %d S; %d P
GUILDWAR_SELECT_MEMBER_COUNT	Scegli il numero dei partecipanti.
GUILDWAR_TYPE_DEFENSE	Battaglia difensiva
GUILDWAR_TYPE_TIGER	Battaglia di annientamento
GUILDWAR_TYPE_TIME	Attacco a tempo
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Campo di battaglia
GUILDWAR_WIN	Vittorie (V)
GUILDWAR_WIN_FIVE	Cinque round
GUILDWAR_WIN_ONE	Un round
GUILDWAR_WIN_THREE	Tre round
GUILDWINDOW_BUTTON_BANKGOLDINFO	Log Magazzino della Gilda
GUILDWINDOW_BUTTON_BASEABANDON	Cedi terreno della gilda
GUILDWINDOW_BUTTON_BASEDEAL	Vendi terreno della gilda
GUILDWINDOW_BUTTON_BASEDEALVOTE	Sondaggio
GUILDWINDOW_BUTTON_BOARD	Appunti della gilda
GUILDWINDOW_BUTTON_CHANGEMASTER	Cambia Capo della gilda
GUILDWINDOW_BUTTON_DECLARE	Dichiarazione di guerra
GUILDWINDOW_BUTTON_DONATE	Donazione
GUILDWINDOW_BUTTON_GOLDIN	Versamento
GUILDWINDOW_BUTTON_GOLDOUT	Prelievo
GUILDWINDOW_BUTTON_GRADE	Amministra diritti
GUILDWINDOW_BUTTON_GUILDLIST	Lista delle gilde
GUILDWINDOW_BUTTON_HEALGSP	Ripristina Forza del drago
GUILDWINDOW_BUTTON_INFO	Informazioni della gilda
GUILDWINDOW_BUTTON_LANDINFO	Informazioni terreno
GUILDWINDOW_BUTTON_MARK	Carica Stemma della gilda
GUILDWINDOW_BUTTON_MEMBER	Membri
GUILDWINDOW_BUTTON_OFFER	Dona EXP
GUILDWINDOW_BUTTON_OUTMEMBER	Espelli membro
GUILDWINDOW_BUTTON_SKILL	Abilità della gilda
GUILDWINDOW_BUTTON_SYMBOL	Carica Stemma della gilda
GUILDWINDOW_BUTTON_VOTECHECK	Controlla sondaggio
GUILDWINDOW_BUY_GUILD_LAND	Acquisto di terreno
GUILDWINDOW_CHANGE_BLACKSMITH	Cambia professione
GUILDWINDOW_CHANGE_OBJECT	Modifica
GUILDWINDOW_CHANGE_SMELTER	Modifica della fornace
GUILDWINDOW_CREATE_OBJECT	Costruzione di edifici
GUILDWINDOW_DEAL_GUILD_LAND	Vendita di terreno
GUILDWINDOW_GRADE_BANK	Si possono usare la banca della gilda e il Magazzino della gilda
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Si può espellere il membro dalla gilda
GUILDWINDOW_GRADE_GRADENAME	Nome di rango
GUILDWINDOW_GRADE_GRADENUMBER	Numero di rango
GUILDWINDOW_GRADE_GUILDWAR	Si possono scegliere i membri che partecipano in veste di guerrieri
GUILDWINDOW_GRADE_INVITEAUTHORITY	Si possono ammettere dei giocatori nella gilda
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Appendi appunti della gilda
GUILDWINDOW_GRADE_SKILLAUTHORITY	Si possono utilizzare le abilità della gilda
GUILDWINDOW_INFO_LEVEL10	Incrementa num. max. membri
GUILDWINDOW_INFO_LEVEL15	Sconto: Forza del drago
GUILDWINDOW_INFO_LEVEL20	Banca: detassazione
GUILDWINDOW_INFO_LEVEL5	+5% EXP donazioni gilda
GUILDWINDOW_LIST_ALL	Tutti i regni
GUILDWINDOW_LIST_ALREADY_REGISTER	[Gilda] Hai già presentato la candidatura.
GUILDWINDOW_LIST_APPLICANT_LIST	Lista candidati
GUILDWINDOW_LIST_CHRACTER_JOB	Classe
GUILDWINDOW_LIST_CHRACTER_LV	Livello
GUILDWINDOW_LIST_CHRACTER_NAME	Nome del personaggio
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Dottrina
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Membri
GUILDWINDOW_LIST_GUILD_LIST	Lista delle gilde
GUILDWINDOW_LIST_GUILD_LV	Livello
GUILDWINDOW_LIST_GUILD_NAME	Gilda
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Gilda] Inserisci un nome per la gilda.
GUILDWINDOW_LIST_LADDER	Punti karma
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Gilda] Questa gilda non ha bando.
GUILDWINDOW_LIST_PROMOTE_GUILD	Candidatura
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Lista delle gilde
GUILDWINDOW_LIST_RANKING	Posizione
GUILDWINDOW_LIST_RANKING_COUNT	Posizione
GUILDWINDOW_LIST_REGISTER	Candidature
GUILDWINDOW_LIST_REGISTER_GUILD	Candidati in una gilda
GUILDWINDOW_LIST_SEARCH	Cerca
GUILDWINDOW_LIST_SELECT_GUILD	[Gilda] Scegli una gilda in cui ti vuoi candidare.
GUILDWINDOW_PROMOTE_REFRESH	Pubblicità
GUILDWINDOW_PROMOTE_REGISTER	Pubblicità
GUILDWINDOW_SP_RECOVER	Forza del Drago
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Ampliamento dell'altare
GUILDWINDOW_UPGRADE_GUILDBANK	Ampliamento della banca
GUILD_ATTENDANCE_FAIL_ALREADY	Oggi hai già partecipato.
