ACCE_ABSORB_COST	Absorberrings pris: %d
DETAILS_TOOLTIP_32	Øger den skade du forvolder igennem mørkets kraft.
DETAILS_TOOLTIP_33	Øger den skade du forvolder igennem ildens kraft.
DETAILS_TOOLTIP_34	Øger den skade du forvolder igennem vindens kraft.
DETAILS_TOOLTIP_35	Øger den skade du forvolder igennem jordens kraft.
DETAILS_TOOLTIP_36	Stærke imod Krigere: Giver tungere skade imod krigere.
DETAILS_TOOLTIP_37	Stærke imod Ninjaer: Giver tungere skade imod ninjaer.
DETAILS_TOOLTIP_38	Stærke imod Suraer: Giver tungere skade imod suraer.
DETAILS_TOOLTIP_39	Stærke imod Shamaner: Giver tungere skade imod shamaner.
DETAILS_TOOLTIP_4	Stærke imod Udøde: Giver tungere skade imod udøde.
DETAILS_TOOLTIP_40	Stærke imod Lycaner: Giver tungere skade imod lycaner.
DETAILS_TOOLTIP_41	Forsvars chance imod kriger angreb: Reducerer den skade du tager fra krigere.
DETAILS_TOOLTIP_42	Forsvars chance imod ninja angreb: Reducerer den skade du tager fra ninjaer.
DETAILS_TOOLTIP_43	Forsvars chance imod sura angreb: Reducerer den skade du tager fra suraer.
DETAILS_TOOLTIP_44	Forsvars chance imod shaman angreb: Reducerer den skade du tager fra shamaner.
DETAILS_TOOLTIP_45	Forsvars chance imod lycan angreb: Reducerer den skade du tager fra lycaner.
DETAILS_TOOLTIP_46	Reducerer skaden der uddeles med et sværd.
DETAILS_TOOLTIP_47	Reducerer skaden der uddeles med et to-hånds våben.
DETAILS_TOOLTIP_48	Reducerer skaden der uddeles med en dolk.
DETAILS_TOOLTIP_49	Reducerer skaden der uddeles med en klo.
DETAILS_TOOLTIP_5	Stærke imod Monstre: Giver tungere skade imod monstre.
DETAILS_TOOLTIP_50	Reducerer skaden der uddeles med en klokke.
DETAILS_TOOLTIP_51	Reducerer skaden der uddeles med en vifte.
DETAILS_TOOLTIP_52	Reducerer skaden der uddeles med buer og pile.
DETAILS_TOOLTIP_53	Øger chancen for at slå en modstander ud.
DETAILS_TOOLTIP_54	Øger chancen for at sløve en modstander.
DETAILS_TOOLTIP_55	Øger chancen for at forgifte en fjende.
DETAILS_TOOLTIP_56	Reducerer skaden der uddeles med gift.
DETAILS_TOOLTIP_57	Øger chancen for at lave et blødnings angreb.
DETAILS_TOOLTIP_58	Modstand imod blødnings angreb: Reducerer skaden der uddeles med et blødnings angreb.
DETAILS_TOOLTIP_59	Dræner din fjendes HP når du slår dem.
DETAILS_TOOLTIP_6	Stærke imod Zodiac Monstre: Giver tungere skade imod Zodiac monstre.
DETAILS_TOOLTIP_60	Dræner din fjendes MP når du slår dem.
DETAILS_TOOLTIP_61	Øger gendannelsen af dine angrebspoint.
DETAILS_TOOLTIP_62	Øger gendannelsen af dine fortryllelses point.
DETAILS_TOOLTIP_63	Sandsynligheden for at blokere et nærkamps angreb: Øger chancen for at undgå et nærkamps angreb.
DETAILS_TOOLTIP_64	Sandsynligheden for at undgå et pil angreb: Øger chancen for at undgå en pil eller varieret angreb fra en monster.
DETAILS_TOOLTIP_65	Sandsynligheden for at reflektere nærkamps slag: En del af fjendens nærkamps skade bliver reflekteret tilbage på dem.
DETAILS_TOOLTIP_66	HP gendannelse ved drab: Dine angrebspoint øges når du dræber en fjende.
DETAILS_TOOLTIP_67	MP gendannelse ved drab: Dine fortryllelses point øges når du dræber en fjende.
DETAILS_TOOLTIP_68	Sandsynligheden for at få dobbelt erfaring: Øger chancen for at få en EXP bonus når du besejrer din modstander.
DETAILS_TOOLTIP_69	Sandsynlighed for at smide dobbelt Yang: Øger chancen for at modtage dobbelt så meget Yang.
DETAILS_TOOLTIP_7	Stærke imod Dyr: Giver tungere skade imod vilde dyr.
DETAILS_TOOLTIP_70	Sandsynlighed for at smide genstande: Øger chancen for at plyndre dobbelt så mange genstande.
DETAILS_TOOLTIP_71	Øger din angrebsværdi.
DETAILS_TOOLTIP_72	Øger din forsvarsværdi.
DETAILS_TOOLTIP_73	Øger indsamlingen af erfaring.
DETAILS_TOOLTIP_74	Genstands drop chance: Øger sandsynligheden for plyndring af genstande.
DETAILS_TOOLTIP_75	Yang drop chance: Øger sandsynligheden for plyndring af mere Yang.
DETAILS_TOOLTIP_76	Reducerer den skade du tager fra et magisk angreb.
DETAILS_TOOLTIP_77	Reducerer fjendens magi modstand.
DETAILS_TOOLTIP_8	Stærke imod Esoterikere: Giver tungere skade imod esoterikere.
DETAILS_TOOLTIP_9	Stærke imod Djævle: Giver tungere skade imod djævle.
DETAILS_TOOLTIP_ATTBONUS_BELL	Klokke forsvars brud: Reducerer din modstanders klokke forsvar.
DETAILS_TOOLTIP_ATTBONUS_BOW	Pil forsvars brud: Reducerer din modstanders pil forsvar.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Klo forsvars brud: Reducerer din modstanders klo forsvar.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Dolk forsvars brud: Reducerer din modstanders dolk forsvar.
DETAILS_TOOLTIP_ATTBONUS_FAN	Vifte forsvars brud: Reducerer din modstanders vifte forsvar.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Sværd forsvars brud: Reducerer din modstanders sværd forsvar.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	To-hånds forsvars brud: Reducerer din modstanders to-hånds forsvar.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Falds modstand: Reducerer din chance for at falde fra din ganger.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Du kan ikke fjerne en genstand når der er en forespørgsel igang.
DO_NOT_INSERT_UPBRINGING_PET	Det aktive kæledyr kan ikke blive valgt.
DO_YOU_BUY_ITEM1	Vil du købe %s for %s Yang?
DO_YOU_BUY_ITEM2	Vil du købe %s (%s styk) for %s Yang?
DO_YOU_BUY_ITEM3	Ønsker du at købe %s for %s Won og %s Yang?
DO_YOU_BUY_ITEM4	Ønsker du at købe %s (%s styk) for %s Won og %s Yang?
DO_YOU_DROP_MONEY	Vil du smide %d Yang væk?
DO_YOU_SELL_ITEM1	Vil du sælge %s for %s Yang?
DO_YOU_SELL_ITEM2	Vil du sælge %s (%s styk) for %s Yang?
DRAGON_SOUL_CANNOT_REFINE	Denne drage sten kan ikke blive forædlet.
DRAGON_SOUL_CANNOT_REFINE_MORE	Denne drage sten har allerede nået det højeste level.
DRAGON_SOUL_EQUIP_WARNING1	Det er svært at fjerne en drage sten, når den først er tilføjet.
DRAGON_SOUL_EQUIP_WARNING2	Vil du stadig gerne fortsætte?
DRAGON_SOUL_EXPIRED	Udløbet drage sten
DRAGON_SOUL_INVALID_DRAGON_SOUL	Det er den forkerte drage sten.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Det er ikke en drage sten.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Dette er ikke den rigtige drage sten.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Du har ikke materialer nok til forædlingen.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL2	Til din %s\nskal du bruge: %s %dx
DRAGON_SOUL_NOT_ENOUGH_MONEY	Du har ikke nok Yang til at ændre bonussen.
DRAGON_SOUL_NOT_MATCHED_SLOT	Denne drage sten passer ikke til denne plads.
DRAGON_SOUL_STEP_LEVEL1	Klarhed: mat,
DRAGON_SOUL_STEP_LEVEL2	Klarhed: klar,
DRAGON_SOUL_STEP_LEVEL3	Klarhed: fejlfri,
DRAGON_SOUL_STEP_LEVEL4	Klarhed: strålende,
DRAGON_SOUL_STEP_LEVEL5	Klarhed: fremragende,
DRAGON_SOUL_STRENGTH	Level: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Denne drage sten kan blive ødelagt i processen.
DRAGON_SOUL_UNEQUIP_WARNING2	Vil du stadig gerne forsætte?
DRAGON_SOUL_UNMATCHED_SLOT	Det er den forkerte plads.
DRAGON_SOUL_UNQUALIFIED	Du kan endnu ikke bruge drage stens alkymisten.
DROP_ITEM_FAILURE_EQUIP_ITEM	Du kan ikke smide genstande i brug væk.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Du kan ikke smide genstande i brug væk, mens du åbner en privat butik.
DROP_MONEY_FAILURE_1000_OVER	Du kan maksimalt smide 999 Yang.
DS_SYSTEM_MSG_1	Du har brug for %s (%dx).
DUTCH_AUCTION_CLOSE_OTHER_WINDOW	Luk venligst alle andre vinduer før du åbner Lyn Auktioner.
EMOTION_ALCOHOL	Skål!
EMOTION_ANGRY	Forarget
EMOTION_ATTRACTIVE	Forførende
EMOTION_BANTER	Spydig
EMOTION_BUSY	Stress
EMOTION_CALL	Kald
EMOTION_CELEBRATION	Fest
EMOTION_CHARGING	Oplader
EMOTION_CHEERS_1	Jubel 1
EMOTION_CHEERS_2	Jubel 2
EMOTION_CHEERUP	Juble
EMOTION_CHOOSE_ONE	Vælg et mål.
EMOTION_CLAP	Applaus
EMOTION_CLAP_KISS	Kys
EMOTION_CONGRATULATION	Understøtte
EMOTION_DANCE_1	Dans 1
EMOTION_DANCE_2	Dans 2
EMOTION_DANCE_3	Dans 3
EMOTION_DANCE_4	Dans 4
EMOTION_DANCE_5	Dans 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_DANCE_7	Samba
EMOTION_DOZE	Døs Hen
EMOTION_EXERCISE	Varm Op
EMOTION_FORGIVE	Tilgive
EMOTION_FRENCH_KISS	Tungekys
EMOTION_HUNGRY	Sulten
EMOTION_JOY	Glæde
EMOTION_LETTER	Kærligheds Brev
EMOTION_NOSAY	Målløs
EMOTION_PUSH_UP	Armbøjninger
EMOTION_SAD	Bedrøvet
EMOTION_SELFIE	Selfie
EMOTION_SHY	Afvise
EMOTION_SIREN	Sirene
EMOTION_SLAP	Slag
EMOTION_WEATHER_1	Solskind
EMOTION_WEATHER_2	Regnbue
EMOTION_WEATHER_3	Måne
EMOTION_WHIRL	Forvirret
EMPIRE_A	Shinsoo-Rige
EMPIRE_B	Chunjo-Rige
EMPIRE_C	Jinno-Rige
EMPIRE_SELECT_MODE	Vælg rige
EXCHANGE_CANNOT_GIVE	Denne genstand kan ikke handles med.
EXCHANGE_CANT_EDIT_MONEY	Du kan ikke redigere bidraget nu.
EXCHANGE_FAILURE_EQUIP_ITEM	Du kan ikke skifte udrustede genstande.
EXCHANGE_MONEY	Bidrag
EXCHANGE_TITLE	Handl med %s (%d)
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	Du har stadig brug for %d Inventar Udvidelser
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Dit inventar har nået den maksimale udvidelse.
EXINVEN_USE_ITEM_QUESTION	Vil du udvide dit inventar med %d Inventar Udvidelser?
FINDM_BUTTON_01	Indsaml
FINDM_BUTTON_02	Forbedre
FINDM_POPUP_01	Du har ikke alle de nødvendige genstande til at starte minispillet.
FINDM_POPUP_02	Du har ikke nok %s.
FINDM_POPUP_03	Du kan ikke bruge det længere.
FINDM_POPUP_04	Det er allerede den bedste belønning.
FINDM_POPUP_05	Utilstrækkeligt Yang til minispillet.
FINDM_POPUP_06	Tre kort vil automatisk blive afsløret, hvis du ikke afslører dem indenfor %d sekunder.
FINDM_QUESTION_01	Dette kræver %d Yang og %s.\n Ønsker du at fortsætte?
FINDM_QUESTION_02	Ønsker du at prøve igen og bruge %s (%d)?
FINDM_QUESTION_03	Belønning: %s
FINDM_QUESTION_04	Prøv igen? Din nuværende belønning forbliver sikker, selv hvis forsøget mislykkes.
FINDM_QUESTION_05	Afslut spillet og indsaml belønning?
FINDM_TOOLTIP_01	Hvis du ikke prøver indenfor den tildelte tid, vil tre kort automatisk blive afsløret.
FISHING_FAILURE	Du har tabt fiskemaddingen.
FISHING_NOTIFY1	Ser ud til, at en %s har bidt på.
FISHING_NOTIFY2	Ser ud til, at en %s blev fanget.
FISHING_RENEWAL_CANNOT_EMOTION	Du kan ikke vise følelser mens du fisker.
FISHING_RENEWAL_CANNOT_OPEN_1	Du kan ikke åbne den mens du fisker.
FISHING_RENEWAL_CANNOT_OPEN_2	Du kan ikke udføre denne handling mens du fisker.
FISHING_RENEWAL_QUESTION	Du har fået et bid. Ønsker du at fange den?
FISHING_RENEWAL_TIMEOUT	Du har ventet for længe. Fisken slap væk.
FISHING_SUCCESS1	Du har fanget en %s !
FISHING_SUCCESS2	Du har fanget %s!
FISHING_UNKNOWN	Jeg ved ikke hvad jeg har fanget.
FISHING_WRONG_PLACE	Her kan jeg ikke fiske.
FLOWER_EVENT_USE_ITEM_TEXT1	Ønsker du at erstatte den aktive effekt?
FLOWER_EVENT_USE_ITEM_TEXT2	Forsøget kan mislykkes, så blomsten visner.
FOR_FEMALE	For kvinder
FOR_MALE	For mænd
FRAGMENT_COMB_COST	Kombinations omkostninger: %s
GAME_CANNOT_MINING	Du kan ikke hakke malm mens du ridder.
GAME_CANNOT_PICK_ITEM	Du kan ikke indsamle denne genstand, da det ikke er dit bytte.
GAME_GUILDWAR_NOW_JOIN	Vil du tilslutte dig Ordenskrigen?
GAME_INIT_ERROR_CURSOR	Musviseren kunne ikke oprettes.
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 skal være installeret for at spillet virker.\nInstaller DirectX 8.1 eller højere.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Ikke fundet noget grafikkort.\nVær så venligt at kontrollere om dit VGA-kort er installeret korrekt.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Grafikkort blev ikke fundet.\nCheck om du har et VGA-kort.\nAlternativ kan du aktivere for hardware-accelerationen.\n(Hardware-acceleration på maksimum i grafikkortets indstillinger)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Dit grafikkort understøtter ikke 32bit-vinduesmode.\nSkift til 16bit eller brug fuld skærm.
GAME_INIT_ERROR_ITEM_PROTO	Ikke fundet nogen genstandsfil.\nVær så venlig at geninstallere spillet.
GAME_INIT_ERROR_MAIN_WINDOW	Hovedvinduet kunne ikke oprettes.
GAME_INIT_ERROR_MOB_PROTO	Ikke fundet nogen monsterfil.\nVær så venlig at geninstallere spillet.
GAME_INIT_ERROR_NETWORK	Netværksforbindelsen kunne ikke oprettes.\nCheck din internet-forbindelse.
GAME_PICK_MONEY	Du har fundet %d Yang.
GEM_SYSTEM_ADD_SLOT	Krævet genstand: %s.\nØnsker du at bruge %d af dem for at låse op endnu et felt?
GEM_SYSTEM_BUY_ITEM	Ønsker du at købe denne genstand?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] Du har ikke nok Opdater Gaya Marked genstande.
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] Du har ikke nok Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Der kan ikke låses op for flere felter.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Åben Gaya Markedet først.
GEM_SYSTEM_PICK_GEM	[Gaya] Antal Gaya: %d
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Ønsker du at opdatere butikken?
GIVEUP_QUESTION	Ønsker du virkelig at give op?
GUILDBANK_CLEARBANK	Advarsel: Ordens Lagerhuset skal tømmes!
GUILDBANK_DONT_MONEY_OUT	Du har ingen Yang i ordens banken!.
GUILDBANK_GOLD_IN	Indbetal
GUILDBANK_GOLD_OUT	Udbetal
GUILDBANK_ITEM_IN	Gem
GUILDBANK_ITEM_OUT	Fjern
GUILDBANK_MONEYIN	Indbetal Yang
GUILDBANK_MONEYOUT	Udbetal Yang
GUILDBANK_NOTUSE	Du har ikke de nødvendige rettigheder.
GUILDBANK_NOT_ENOUGH_MONEY	Du har ikke nok Yang til indbetaling.
GUILDBANK_OVER_INCOME	Konto begrænsning nået.
GUILDBANK_OVER_MONEY	Orden kontoen er fyldt.
GUILDLAND_ABANDON	Opgiv Ordens Området
GUILDLAND_ABANDON_VOTE	Opgiv ordenen [%s]s område.
GUILDLAND_ABANDON_VOTE_RESULT1	Ordenen [%s]s område blev opgivet.
GUILDLAND_ABANDON_VOTE_RESULT2	Ordens området er blevet opgivet.
GUILDLAND_ABANDON_VOTE_RESULT3	Resultat af afstemning:
GUILDLAND_ABANDON_VOTE_RESULT4	Afstemning er ugyldig.
GUILDLAND_ABANDON_VOTE_TEXT	Ønsker du virkelig at starte denne afstemning?
GUILDLAND_ABANDON_VOTE_TEXT1	Er du indforstået med at opgive ordens territoriet?
GUILDLAND_ACCEPT	Ja
GUILDLAND_DEAL	Sælg Ordens Område
GUILDLAND_DEAL_TEXT1	Ordenen [%s] ønsker at sælge deres
GUILDLAND_DEAL_TEXT2	område for [%s] Yang.
GUILDLAND_DEAL_TEXT3	Accepterer du tilbuddet?
GUILDLAND_DELA_VOTE	Ordenen [%s] ønsker at købe vores ordens område.
GUILDLAND_DELA_VOTE_RESULT1	Ordens område salg til ordeden [%s]
GUILDLAND_DELA_VOTE_RESULT2	Afstemningen er afsluttet.
GUILDLAND_DELA_VOTE_RESULT3	Afstemningsresultat for salget af ordens området:
GUILDLAND_DELA_VOTE_RESULT4	Afstemning er ugyldig.
GUILDLAND_DELA_VOTE_TEXT	Hvilken orden ønsker du at sælge dit område til?
GUILDLAND_DELA_VOTE_TEXT1	Er du indforstået med at sælge ordens territoriet?
GUILDLAND_DONTHAVE_LAND	Du ejer ikke noget ordens område.
GUILDLAND_NOT	Nej
GUILDLAND_VOTE_TEXT	Ønsker du at give [%s] området?
GUILDLIST_APPLICANT	Ønsker du at anvende?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Højden skal være 128 pixel
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Højden skal være 12 pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Bredde skal være 16 pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Bredde skal være 64 pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Spillet understøtter ikke den slags billedformater.
GUILDMARK_UPLOADER_ERROR_PATH	Flyt filerne i mappen metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Du har ikke valgt nogen billed-fil.
GUILDVOTE_CHANGEMASTER	Skift Ordensleder
GUILDVOTE_CHANGEMASTER_RESULT1	Ordenen blev overført med success.
GUILDVOTE_CHANGEMASTER_RESULT2	Ordenen [%s] blev overført til dig.
GUILDVOTE_CHANGEMASTER_RESULT3	Overfør orden til medlemmet [%s]
GUILDVOTE_CHANGEMASTER_RESULT4	Afstemning er ugyldig.
GUILDVOTE_CHANGEMASTER_RESULT5	Ny ordensleder: %s
GUILDVOTE_CHANGEMASTER_TEXT1	Ønsker du at overføre ordenen til [%s]?
GUILDVOTE_CHANGEMASTER_TEXT2	
GUILDVOTE_CHANGEMASTER_TEXT3	Ønsker du virkelig at opgive lederskabet af ordenen?
GUILDVOTE_CHANGEMASTER_TEXT4	
GUILDVOTE_CHANGEMASTER_VOTETEXT1	Overfør orden til medlemmet [%s]
GUILDVOTE_CHANGEMASTER_VOTETEXT2	Accepterer du ordensleder overførslen?
GUILDVOTE_MEMBEROUT	Fjern Medlem
GUILDVOTE_MEMBEROUT_AUTH	Du har ikke de nødvendige rettigheder.
GUILDVOTE_MEMBEROUT_NOMAL	Ønsker du virkelig at fjerne dette medlem?
GUILDVOTE_MEMBEROUT_RESULT1	Fjern Medlem: [%s]
GUILDVOTE_MEMBEROUT_RESULT2	Afstemningsresultat
GUILDVOTE_MEMBEROUT_RESULT3	Du er blevet fjernet fra ordenen [%s].
GUILDVOTE_MEMBEROUT_RESULT4	Afstemningsresultat
GUILDVOTE_MEMBEROUT_RESULT5	Afstemning er ugyldig.
GUILDVOTE_MEMBEROUT_TEXT1	Ønsker du at starte en afstemning mod [%s]?
GUILDVOTE_MEMBEROUT_TEXT2	Afstemning: Fjern medlem fra ordenen?
GUILDVOTE_MEMBEROUT_VOTETEXT1	Afstemning: Skal [%s] fjernes fra ordenen?
GUILDVOTE_MEMBEROUT_VOTETEXT2	
GUILDVOTE_NO	Imod
GUILDVOTE_OK	For
GUILDVOTE_RESULT_AGGRE_MEMBER	For: %d
GUILDVOTE_RESULT_ALL_MEMBER	Deltagere: %d
GUILDVOTE_RESULT_OPPESE_MEMBER	Imod: %d
GUILDVOTE_RESULT_TIME	%d dage %d timer %d minutter %d sekunder
GUILDVOTE_SELECT_ONE	Vælg venligst en karakter.
GUILDWAR_ALL	Kampe (K)
GUILDWAR_CTF_TITLE	Fang Flaget
GUILDWAR_DRAW	Uafgjorte (U)
GUILDWAR_GAINSCORE_FIFTY	50 point
GUILDWAR_GAINSCORE_HUNDRED	100 point
GUILDWAR_GAINSCORE_THIRTY	30 point
GUILDWAR_GAMETIME_SIXTY	60 minutter
GUILDWAR_GAMETIME_TEN	10 minutter
GUILDWAR_GAMETIME_THIRTY	30 minutter
GUILDWAR_INPUT_OTHERGUILD	Indtast venligst ordens modstanderen.
GUILDWAR_LADDER	Rangpoint
GUILDWAR_LIMIT_MEMBER_FIVE	Minimum 5 Deltagere.
GUILDWAR_LOSE	Tab (T)
GUILDWAR_NORMAL_TITLE	Kampfelt
GUILDWAR_OVER_MEMBERCOUNT	Du har nået medlems begrænsningen.
GUILDWAR_QUESTION_LINE_1	%s-Ordenen har erklæret krig mod jer.
GUILDWAR_QUESTION_LINE_2	tager du imod? (%s)
GUILDWAR_RANKING	Rang
GUILDWAR_RECODE_ALL	%d K, %d V, %d T, %d U
GUILDWAR_SELECT_MEMBER_COUNT	Vælg antallet af deltagere.
GUILDWAR_TYPE_DEFENSE	Skjold Kamp
GUILDWAR_TYPE_TIGER	Udslettelse
GUILDWAR_TYPE_TIME	Tids Angreb
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Arena krig
GUILDWAR_WIN	Vundet (V)
GUILDWAR_WIN_FIVE	5 runder
GUILDWAR_WIN_ONE	1 runde
GUILDWAR_WIN_THREE	3 runder
GUILDWINDOW_BUTTON_BANKGOLDINFO	Ordens Lagerhus Historik
GUILDWINDOW_BUTTON_BASEABANDON	Opgiv Ordens Området
GUILDWINDOW_BUTTON_BASEDEAL	Sælg Ordens Område
GUILDWINDOW_BUTTON_BASEDEALVOTE	Stem
GUILDWINDOW_BUTTON_BOARD	Ordens Meddelelser
GUILDWINDOW_BUTTON_CHANGEMASTER	Skift Ordensleder
GUILDWINDOW_BUTTON_DECLARE	Erklær Krig
GUILDWINDOW_BUTTON_DONATE	Doner
GUILDWINDOW_BUTTON_GOLDIN	Indbetal
GUILDWINDOW_BUTTON_GOLDOUT	Udbetal
GUILDWINDOW_BUTTON_GRADE	Administrer Rettigheder
GUILDWINDOW_BUTTON_GUILDLIST	Ordensliste
GUILDWINDOW_BUTTON_HEALGSP	Genopret Dragegudens Styrke
GUILDWINDOW_BUTTON_INFO	Ordens Informationer
GUILDWINDOW_BUTTON_LANDINFO	Område Informationer
GUILDWINDOW_BUTTON_MARK	Upload Ordens Symbol
GUILDWINDOW_BUTTON_MEMBER	Medlem
GUILDWINDOW_BUTTON_OFFER	Donér EXP
GUILDWINDOW_BUTTON_OUTMEMBER	Fjern Medlem
GUILDWINDOW_BUTTON_SKILL	Ordensfærdigheder
GUILDWINDOW_BUTTON_SYMBOL	Upload Ordensflag
GUILDWINDOW_BUTTON_VOTECHECK	Tjek Stemmer
GUILDWINDOW_BUY_GUILD_LAND	Køb Land
GUILDWINDOW_CHANGE_BLACKSMITH	Ændre Profession
GUILDWINDOW_CHANGE_OBJECT	Rekonstruktion
GUILDWINDOW_CHANGE_SMELTER	Skift Højovn
GUILDWINDOW_CREATE_OBJECT	Konstruktion
GUILDWINDOW_DEAL_GUILD_LAND	Sælg Land
GUILDWINDOW_GRADE_BANK	Kan bruge ordens banken og lagerhuset
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Kan fjerne medlemmer fra ordenen
GUILDWINDOW_GRADE_GRADENAME	Rang Navn
GUILDWINDOW_GRADE_GRADENUMBER	Rang Nummer
GUILDWINDOW_GRADE_GUILDWAR	Kan vælge medlemmer som krigsdeltagere
GUILDWINDOW_GRADE_INVITEAUTHORITY	Kan acceptere spillere til ordenen
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Kan sende ordens beskeder
GUILDWINDOW_GRADE_SKILLAUTHORITY	Kan bruge ordensfærdigheder
GUILDWINDOW_INFO_LEVEL10	Forøget maks. medlemstal
GUILDWINDOW_INFO_LEVEL15	Reduk.: Dragegudens Styrke
GUILDWINDOW_INFO_LEVEL20	Bank: Skattefritagelse
GUILDWINDOW_INFO_LEVEL5	+5% EXP til orden donation
GUILDWINDOW_LIST_ALL	Alle Riger
GUILDWINDOW_LIST_ALREADY_REGISTER	[Orden] Du har allerede ansøgt.
GUILDWINDOW_LIST_APPLICANT_LIST	Ansøgnings Liste
GUILDWINDOW_LIST_CHRACTER_JOB	Karakterklasse
GUILDWINDOW_LIST_CHRACTER_LV	Level
GUILDWINDOW_LIST_CHRACTER_NAME	Karakternavn
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Klasse
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Medlem
GUILDWINDOW_LIST_GUILD_LIST	Ordensliste
GUILDWINDOW_LIST_GUILD_LV	Level
GUILDWINDOW_LIST_GUILD_NAME	Orden
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Orden] Indtast venligst et ordensnavn.
GUILDWINDOW_LIST_LADDER	Rangpoint
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Orden] Denne orden søger ikke.
GUILDWINDOW_LIST_PROMOTE_GUILD	Ansøgning
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Ordensliste
GUILDWINDOW_LIST_RANKING	Position
GUILDWINDOW_LIST_RANKING_COUNT	Position
GUILDWINDOW_LIST_REGISTER	Ansøgninger
GUILDWINDOW_LIST_REGISTER_GUILD	Ansøg til ordenen
GUILDWINDOW_LIST_SEARCH	Søg
GUILDWINDOW_LIST_SELECT_GUILD	[Orden] Vælg venligst en orden du vil ansøge til.
GUILDWINDOW_PROMOTE_REFRESH	Annoncer
GUILDWINDOW_PROMOTE_REGISTER	Annoncer
GUILDWINDOW_SP_RECOVER	Dragegudens Magt
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Opgrader Alter
GUILDWINDOW_UPGRADE_GUILDBANK	Opgrader Bank
GUILD_ATTENDANCE_FAIL_ALREADY	Du har allerede deltaget i dag.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Du kan ikke deltage nu. Deltagelsen bliver nulstillet hver dag kl. 05:00.
GUILD_BANKINFO_CLOSE	Luk
GUILD_BANKINFO_NAME	Medlem
GUILD_BANKINFO_TYPE	Genstand/Valuta
GUILD_BANKINFO_USETYPE	Handling
GUILD_BANK_CLOSE	Luk
GUILD_BANK_INFO	Ordens Lagerhus Historik
GUILD_BOARD_ID	Medlem
GUILD_BOARD_TEXT	Besked
GUILD_BUILDING_FIX_CHANGE	Er du sikker på du vil skifte placering
GUILD_BUILDING_FIX_CHANGE_GOLD	Pris: 1.000.000 Yang
GUILD_BUILDING_FIX_DELETE	Er du sikker på at du vil slette objektet?
GUILD_BUILDING_FIX_NEED_BUILDING	Ingen bygning til stede.
GUILD_BUILDING_GRADE	Rang
GUILD_BUILDING_NAME	Bygningsnavn
GUILD_CANNOT_HEAL_GSP_ANYMORE	Drageånd er allerede fyldt.
GUILD_COMMENT	Skriv
GUILD_CREATE_ERROR_INSULT_NAME	Ordensnavnet er ikke tilladt.
GUILD_DEFAULT_GRADE	Ordensmedlemmer
GUILD_DELETE	Slet
GUILD_DEPOSIT	Deponere
