ACCE_ABSORB_COST	Absorberingsprijs: %d
DETAILS_TOOLTIP_20	Verhoogt de kans op het uitdelen van een kritieke slag.
DETAILS_TOOLTIP_21	Perforerende slag kans: Verhoogt de kans op het uitdelen van een perforerende slag.
DETAILS_TOOLTIP_22	Kritische slag weerstand: Vermindert de schade toegebracht door een kritieke slag.
DETAILS_TOOLTIP_23	Perforerende slag weerstand: Vermindert de schade toegebracht door een perforerende slag.
DETAILS_TOOLTIP_24	Vermindert de schade die je oploopt van bepaalde monsters.
DETAILS_TOOLTIP_25	Vermindert de schade die je oploopt van bepaalde monsters.
DETAILS_TOOLTIP_26	Duisternis weerstand: Vermindert de schade die je oploopt van bepaalde monsters.
DETAILS_TOOLTIP_27	Vermindert de schade die je oploopt van bepaalde monsters.
DETAILS_TOOLTIP_28	Vermindert de schade die je oploopt van bepaalde monsters.
DETAILS_TOOLTIP_29	Vermindert de schade die je oploopt van bepaalde monsters.
DETAILS_TOOLTIP_3	Sterk tegen Orks: Brengt zwaardere schade toe aan orks.
DETAILS_TOOLTIP_30	Verhoogt de schade toe je toebrengt door de kracht van bliksem.
DETAILS_TOOLTIP_31	Verhoogt de schade toe je toebrengt door de kracht van ijs.
DETAILS_TOOLTIP_32	Verhoogt de schade toe je toebrengt door de kracht van duisternis.
DETAILS_TOOLTIP_33	Verhoogt de schade toe je toebrengt door de kracht van vuur.
DETAILS_TOOLTIP_34	Verhoogt de schade toe je toebrengt door de kracht van de wind.
DETAILS_TOOLTIP_35	Verhoogt de schade toe je toebrengt door de kracht van aarde.
DETAILS_TOOLTIP_36	Sterk tegen Krijgers: Brengt zwaardere schade toe aan krijgers.
DETAILS_TOOLTIP_37	Sterk tegen Ninja's: Brengt zwaardere schade toe aan ninja's.
DETAILS_TOOLTIP_38	Sterk tegen Sura's: Brengt zwaardere schade toe aan sura's.
DETAILS_TOOLTIP_39	Sterk tegen Sjamanen: Brengt zwaardere schade toe aan sjamanen.
DETAILS_TOOLTIP_4	Sterk tegen Sterk tegen Ondoden: Brengt zwaardere schade toe aan ondoden.
DETAILS_TOOLTIP_40	Sterk tegen Lycanen: Brengt zwaardere schade toe aan lycanen.
DETAILS_TOOLTIP_41	Verdedigingskans tegen aanvallen van krijgers: Vermindert de schade die je oploopt van krijgers.
DETAILS_TOOLTIP_42	Verdedigingskans tegen aanvallen van ninja's: Vermindert de schade die je oploopt van ninja's.
DETAILS_TOOLTIP_43	Verdedigingskans tegen aanvallen van sura's: Vermindert de schade die je oploopt van sura's.
DETAILS_TOOLTIP_44	Verdedigingskans tegen aanvallen van sjamanen: Vermindert de schade die je oploopt van sjamanen.
DETAILS_TOOLTIP_45	Verdedigingskans tegen aanvallen van lycanen: Vermindert de schade die je oploopt van lycanen.
DETAILS_TOOLTIP_46	Vermindert de schade toegebracht door een zwaard.
DETAILS_TOOLTIP_47	Vermindert de schade toegebracht door een twee-handig wapen.
DETAILS_TOOLTIP_48	Vermindert de schade toegebracht door een dolk.
DETAILS_TOOLTIP_49	Vermindert de schade toegebracht door een klauw.
DETAILS_TOOLTIP_5	Sterk tegen Monsters: Brengt zwaardere schade toe aan monsters.
DETAILS_TOOLTIP_50	Vermindert de schade toegebracht door een bel.
DETAILS_TOOLTIP_51	Vermindert de schade toegebracht door een waaier.
DETAILS_TOOLTIP_52	Vermindert de schade toegebracht door pijl en boog.
DETAILS_TOOLTIP_53	Verhoogt de kans om een tegenstander te laten flauw vallen.
DETAILS_TOOLTIP_54	Verhoogt de kans om een tegenstander te vertragen.
DETAILS_TOOLTIP_55	Verhoogt de kans om een tegenstander te vergiftigen.
DETAILS_TOOLTIP_56	Vermindert de schade toegebracht door gif.
DETAILS_TOOLTIP_57	Verhoogt de kans om een bloedingsaanval uit te voeren.
DETAILS_TOOLTIP_58	Weerstand tegen bloedingsaanvallen: Vermindert de schade toegebracht door een bloedingsaanval.
DETAILS_TOOLTIP_59	Steelt LP van je vijanden als je ze raakt.
DETAILS_TOOLTIP_6	Sterk tegen Zodiac Monsters: Brengt zwaardere schade toe aan Zodiac-monsters.
DETAILS_TOOLTIP_60	Steelt TP van je vijanden als je ze raakt.
DETAILS_TOOLTIP_61	Verhoogt het herstel van je levenspunten.
DETAILS_TOOLTIP_62	Verhoogt het herstel van je spreukpunten.
DETAILS_TOOLTIP_63	Kans om een fysieke aanval te blokkeren: Verhoogt de kans op het ontwijken van een fysieke aanval.
DETAILS_TOOLTIP_64	Kans om een pijlaanval te ontwijken: Verhoogt de kans op het ontwijken van pijl- of afstandsaanval door een monster.
DETAILS_TOOLTIP_65	Kans om fysieke aanvallen te weerkaatsen: Een deel van de fysieke aanval van de vijand wordt weerkaatst naar hen.
DETAILS_TOOLTIP_66	HP herstel bij doden: Je levenspunten stijgen wanneer je een vijand doodt.
DETAILS_TOOLTIP_67	TP herstel bij doden: Je spreukpunten stijgen wanneer je een vijand doodt.
DETAILS_TOOLTIP_68	Kans om dubbele ervaring te krijgen: Verhoogt de kans op een ERV-bonus als je een tegenstander verslaat.
DETAILS_TOOLTIP_69	Kans op dubbele Yang: Verhoogt de kans op het ontvangen van twee keer zoveel Yang.
DETAILS_TOOLTIP_7	Sterk tegen dieren: Brengt zwaardere schade toe aan dieren.
DETAILS_TOOLTIP_70	Kans op het droppen van items: Verhoogt de kans op het buitmaken van twee keer zoveel items.
DETAILS_TOOLTIP_71	Verhoogt je aanvalswaarde
DETAILS_TOOLTIP_72	Verhoogt je verdedigingswaarde
DETAILS_TOOLTIP_73	Verhoogt het verzamelen van ervaring.
DETAILS_TOOLTIP_74	Item drop-kans: Verhoogt de kans op het buitmaken van items.
DETAILS_TOOLTIP_75	Yang drop-kans: Verhoogt de kans op het buitmaken van meer Yang.
DETAILS_TOOLTIP_76	Vermindert de schade die je oploopt bij een magische aanval.
DETAILS_TOOLTIP_77	Vermindert de magieweerstand van je vijand.
DETAILS_TOOLTIP_8	Sterk tegen Esoteristen: Brengt zwaardere schade toe aan esoteristen.
DETAILS_TOOLTIP_9	Sterk tegen Duivels: Brengt zwaardere schade toe aan duivels.
DETAILS_TOOLTIP_ATTBONUS_BELL	Belverdedigingsbreuk: Vermindert de belverdediging van je tegenstander.
DETAILS_TOOLTIP_ATTBONUS_BOW	Pijlverdedigingsbreuk: Vermindert de pijlverdediging van je tegenstander.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Klauwverdedigingsbreuk: Vermindert de klauwverdediging van je tegenstander.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Dolkverdedigingsbreuk: Vermindert de dolkverdediging van je tegenstander.
DETAILS_TOOLTIP_ATTBONUS_FAN	Waaierverdedigingsbreuk: Vermindert de waaierverdediging van je tegenstander.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Zwaardverdedigingsbreuk: Vermindert de zwaardverdediging van je tegenstander.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Tweehandsverdedigingsbreuk: Vermindert de tweehandsverdediging van je tegenstander.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Valweerstand: Vermindert de kans om van je rijdier af te vallen.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Wanneer een aanvraag loopt kun je geen items verplaatsen.
DO_NOT_INSERT_UPBRINGING_PET	Het actieve huisdier kan niet geselecteerd worden.
DO_YOU_BUY_ITEM1	Wil je %s voor %s Yang kopen?
DO_YOU_BUY_ITEM2	Wil je %s (%s stuks) voor %s Yang kopen?
DO_YOU_BUY_ITEM3	Wil je %s kopen voor %s Won en %s Yang?
DO_YOU_BUY_ITEM4	Wil je %s (%s stuks) kopen voor %s Won en %s Yang?
DO_YOU_DROP_MONEY	Wil je %d Yang laten vallen?
DO_YOU_SELL_ITEM1	Wil je %s voor %s Yang verkopen?
DO_YOU_SELL_ITEM2	Wil je %s (%s stuks) voor %s Yang verkopen?
DRAGON_SOUL_CANNOT_REFINE	Deze Drakensteen kan niet worden verbeterd.
DRAGON_SOUL_CANNOT_REFINE_MORE	Deze Drakensteen heeft al het hoogste level.
DRAGON_SOUL_EQUIP_WARNING1	Het is moeilijk om een Drakensteen te verwijderen als deze vastgezet is.
DRAGON_SOUL_EQUIP_WARNING2	Wil je nog steeds doorgaan?
DRAGON_SOUL_EXPIRED	Verlopen Drakensteen
DRAGON_SOUL_INVALID_DRAGON_SOUL	Dat is de verkeerde Drakensteen.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Dat is geen Drakensteen.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Dat is niet de juiste Drakensteen.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	Je hebt niet genoeg materialen om te verbeteren.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL2	Voor jouw %s\n heb je %s %dx nodig.
DRAGON_SOUL_NOT_ENOUGH_MONEY	Je hebt niet genoeg Yang om de bonus te wijzigen.
DRAGON_SOUL_NOT_MATCHED_SLOT	De Drakensteen past niet op deze plek.
DRAGON_SOUL_STEP_LEVEL1	Helderheid: Mat,
DRAGON_SOUL_STEP_LEVEL2	Helderheid: Doorzichtig,
DRAGON_SOUL_STEP_LEVEL3	Helderheid: Foutloos,
DRAGON_SOUL_STEP_LEVEL4	Helderheid: Briljant,
DRAGON_SOUL_STEP_LEVEL5	Helderheid: Perfect,
DRAGON_SOUL_STRENGTH	Level: +%d	SA
DRAGON_SOUL_UNEQUIP_WARNING1	De Drakensteen kan vernietigt worden in het proces.
DRAGON_SOUL_UNEQUIP_WARNING2	Wil je nog steeds doorgaan?
DRAGON_SOUL_UNMATCHED_SLOT	Dat is de verkeerde plek.
DRAGON_SOUL_UNQUALIFIED	Je kan nog geen Drakensteen alchemie gebruiken.
DROP_ITEM_FAILURE_EQUIP_ITEM	Je kunt items die je aan hebt niet laten vallen.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Je kunt geen voorwerpen laten vallen als je privé Warenhuis open is.
DROP_MONEY_FAILURE_1000_OVER	Je kunt maximaal 999 Yang laten vallen.
DS_SYSTEM_MSG_1	Je hebt %s nodig (%dx).
DUTCH_AUCTION_CLOSE_OTHER_WINDOW	Sluit eerst a.u.b. alle andere vensters voordat je de Flash Veilingen opent.
EMOTION_ALCOHOL	Proost!
EMOTION_ANGRY	Ergerlijk
EMOTION_ATTRACTIVE	Verleiding	
EMOTION_BANTER	Spottend	
EMOTION_BUSY	Stress
EMOTION_CALL	Roepen
EMOTION_CELEBRATION	Feesten
EMOTION_CHARGING	Opladen
EMOTION_CHEERS_1	Gejuich 1	
EMOTION_CHEERS_2	Gejuich 2	
EMOTION_CHEERUP	Gejuich	
EMOTION_CHOOSE_ONE	Kies een doelwit	
EMOTION_CLAP	Klappen	
EMOTION_CLAP_KISS	Kus	
EMOTION_CONGRATULATION	Instemming	
EMOTION_DANCE_1	Dans 1	
EMOTION_DANCE_2	Dans 2	
EMOTION_DANCE_3	Dans 3	
EMOTION_DANCE_4	Dans 4	
EMOTION_DANCE_5	Dans 5	
EMOTION_DANCE_6	Gumsan Stijl
EMOTION_DANCE_7	Samba
EMOTION_DOZE	Indutten
EMOTION_EXERCISE	Opwarmen
EMOTION_FORGIVE	Vergeving	
EMOTION_FRENCH_KISS	Tongzoen	
EMOTION_HUNGRY	Hongerig
EMOTION_JOY	Vreugde	
EMOTION_LETTER	Liefdesbrief
EMOTION_NOSAY	Sprakeloos
EMOTION_PUSH_UP	Push-ups
EMOTION_SAD	Verdriet	
EMOTION_SELFIE	Selfie
EMOTION_SHY	Afwijzing	
EMOTION_SIREN	Sirene
EMOTION_SLAP	Slaan	
EMOTION_WEATHER_1	Zonneschijn
EMOTION_WEATHER_2	Regenboog
EMOTION_WEATHER_3	Maan
EMOTION_WHIRL	Verbaasd
EMPIRE_A	Shinsoo Keizerrijk	
EMPIRE_B	Chunjo Koninkrijk	
EMPIRE_C	Jinno Keizerrijk
EMPIRE_SELECT_MODE	Koninkrijk selecteren
EXCHANGE_CANNOT_GIVE	Je kunt dit Voorwerp niet verhandelen.
EXCHANGE_CANT_EDIT_MONEY	Je kunt de som nu niet veranderen.	
EXCHANGE_FAILURE_EQUIP_ITEM	Je kunt Voorwerpen die je draagt niet ruilen.
EXCHANGE_MONEY	Som	
EXCHANGE_TITLE	Handel met %s (%d)
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	Je hebt nog %d Inventaris Uitbreiding(en) nodig.
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Jouw inventaris heeft het maximale aantal uitbreidingen gehad.
EXINVEN_USE_ITEM_QUESTION	Wil je jouw inventaris uitbreiden door %d Inventaris Uitbreidingen te gebruiken?
FINDM_BUTTON_01	Verzamelen
FINDM_BUTTON_02	Verbeteren
FINDM_POPUP_01	Je hebt niet alle benodigde items om de minigame te starten.
FINDM_POPUP_02	Je hebt niet genoeg %s.
FINDM_POPUP_03	Je kunt dat niet meer gebruiken.
FINDM_POPUP_04	Dit is al de best mogelijke beloning.
FINDM_POPUP_05	Onvoldoende Yang voor de minigame.
FINDM_POPUP_06	Drie kaarten zullen automatisch onthuld worden als je dat niet zelf doet binnen %d seconden.
FINDM_QUESTION_01	Dit vereist %d Yang en %s.\nWil je doorgaan?
FINDM_QUESTION_02	Wil je het opnieuw proberen en %s (%d) gebruiken?
FINDM_QUESTION_03	Beloning: %s
FINDM_QUESTION_04	Opnieuw proberen? Je huidige beloning blijft veilig ook al mislukt je poging.
FINDM_QUESTION_05	Spel beëindigen en je beloning ophalen?
FINDM_TOOLTIP_01	Als je het niet probeert binnen de toegestane tijd zullen er automatisch drie kaarten onthuld worden.
FISHING_FAILURE	Je hebt het Aas verloren.	
FISHING_NOTIFY1	Het lijkt alsof %s beet heeft.
FISHING_NOTIFY2	Het lijkt alsof %s gepakt is.	
FISHING_RENEWAL_CANNOT_EMOTION	Je kunt geen emoties uiten terwijl je aan het vissen bent.
FISHING_RENEWAL_CANNOT_OPEN_1	Je kunt het niet openen tijdens het vissen.
FISHING_RENEWAL_CANNOT_OPEN_2	Je kunt deze actie niet uitvoeren zolang je aan het vissen bent.
FISHING_RENEWAL_QUESTION	Je hebt beet. Wil je het vangen?
FISHING_RENEWAL_TIMEOUT	Je hebt te lang gewacht. De vis is ontsnapt.
FISHING_SUCCESS1	Je hebt %s gevangen!	
FISHING_SUCCESS2	Je hebt %s uit het water gevist!	
FISHING_UNKNOWN	Iets heeft het aas genomen maar je kunt niet zien wat.	
FISHING_WRONG_PLACE	Ik kan hier niet vissen.	
FLOWER_EVENT_USE_ITEM_TEXT1	Wil je het actieve effect vervangen?
FLOWER_EVENT_USE_ITEM_TEXT2	De poging kan mislukken waardoor de bloem zal verwelken.
FOR_FEMALE	voor vrouwen	
FOR_MALE	voor mannen	
FRAGMENT_COMB_COST	Combinatiekosten: %s
GAME_CANNOT_MINING	Je kunt geen erts mijnen terwijl je rijdt.	
GAME_CANNOT_PICK_ITEM	Je kunt dit Voorwerp niet oppakken want je hebt het niet gewonnen.	
GAME_GUILDWAR_NOW_JOIN	Wil je deelnemen aan de Gilde Oorlog?
GAME_INIT_ERROR_CURSOR	De cursor kan niet worden gebruikt.	
GAME_INIT_ERROR_DIRECTX	DirectX 8.1 moet geïnstalleerd worden zodat het spel kan draaien.\nInstalleer DirectX 8.1 or higher.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Er is geen grafisch apparaat gevonden. \nControleer of je Videokaart correct geïnstalleerd is.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Grafisch apparaat kon niet gevonden worden. \nControleer of je een Grafische kaart hebt. \nOf, je kunt de hardware accelerator inschakelen \nStel de hardware accelerator in op max \nconfiguratiescherm -> beeldscherm -> instellingen- > geavanceerd -> probleem oplossen
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	De Grafische Kaart van de computer ondersteunt de venstermodus in 32bit Modus niet. \nVerander naar 16bit Modus of gebruik Volledige Scherm Modus.
GAME_INIT_ERROR_ITEM_PROTO	Geen Voorwerp data aanwezig. \nInstalleer het spel opnieuw.	
GAME_INIT_ERROR_MAIN_WINDOW	Hoofdvenster kan niet geladen worden.	
GAME_INIT_ERROR_MOB_PROTO	Geen Monster data aanwezig. \nInstalleer het spel opnieuw.	
GAME_INIT_ERROR_NETWORK	Netwerk apparaten konden niet geladen worden. \nControleer je internet verbinding.	
GAME_PICK_MONEY	Je hebt %d Yang ontvangen.
GEM_SYSTEM_ADD_SLOT	Vereist item: %s.\nWil je er %d van gebruiken om een extra plaats te ontgrendelen?
GEM_SYSTEM_BUY_ITEM	Wil je dit item kopen?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] Je hebt niet genoeg Ververs Gaya Markt-items.
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] Je hebt niet genoeg Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Er kunnen geen plaatsen meer ontgrendeld worden.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Open eerst de Gaya Markt.
GEM_SYSTEM_PICK_GEM	[Gaya] Hoeveelheid Gaya: %d
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Wil je de shop verversen?
GIVEUP_QUESTION	Wil je echt opgeven?
GUILDBANK_CLEARBANK	Waarschuwing: Het Gilde Warenhuis moet geleegd worden!
GUILDBANK_DONT_MONEY_OUT	Je hebt geen Yang op de gildebank staan!
GUILDBANK_GOLD_IN	Storting
GUILDBANK_GOLD_OUT	Opname
GUILDBANK_ITEM_IN	Opslaan
GUILDBANK_ITEM_OUT	Verwijderen
GUILDBANK_MONEYIN	Yang storten
GUILDBANK_MONEYOUT	Yang opnemen
GUILDBANK_NOTUSE	Je hebt niet de benodigde machtigingen.
GUILDBANK_NOT_ENOUGH_MONEY	Je hebt niet genoeg Yang om te storten.
GUILDBANK_OVER_INCOME	Accountlimiet bereikt.
GUILDBANK_OVER_MONEY	Het gildeaccount is vol.
GUILDLAND_ABANDON	Gilde Gebied opgeven
GUILDLAND_ABANDON_VOTE	Gilde [%s]'s gebied opgeven.
GUILDLAND_ABANDON_VOTE_RESULT1	Gilde [%s]'s gebied is opgegeven.
GUILDLAND_ABANDON_VOTE_RESULT2	Het gildegebied is opgegeven.
GUILDLAND_ABANDON_VOTE_RESULT3	Stemresultaat:
GUILDLAND_ABANDON_VOTE_RESULT4	Stem is ongeldig.
GUILDLAND_ABANDON_VOTE_TEXT	Wil je echt starten met deze stemming?
GUILDLAND_ABANDON_VOTE_TEXT1	Stem je ermee in om het gildegebied te verlaten?
GUILDLAND_ACCEPT	Ja
GUILDLAND_DEAL	Gilde Gebied verkopen
GUILDLAND_DEAL_TEXT1	Gilde [%s] wil hun
GUILDLAND_DEAL_TEXT2	gebied verkopen voor [%s] Yang.
GUILDLAND_DEAL_TEXT3	Accepteer je dit aanbod?
GUILDLAND_DELA_VOTE	Het gilde [%s] wil ons gildegebied kopen.
GUILDLAND_DELA_VOTE_RESULT1	Gildegebiedsverkoop aan gilde [%s]
GUILDLAND_DELA_VOTE_RESULT2	Het stemmen is voltooid.
GUILDLAND_DELA_VOTE_RESULT3	Stemresultaat voor verkoop van gildegebied:
GUILDLAND_DELA_VOTE_RESULT4	Stem is ongeldig.
GUILDLAND_DELA_VOTE_TEXT	Aan welk gilde wil je jouw gebied verkopen?
GUILDLAND_DELA_VOTE_TEXT1	Stem je ermee in om het gildegebied te verkopen?
GUILDLAND_DONTHAVE_LAND	Je bent niet in het bezit van een gildegebied.
GUILDLAND_NOT	Nee
GUILDLAND_VOTE_TEXT	Wil je het gebied aan [%s] geven?
GUILDLIST_APPLICANT	Wil je jezelf aanmelden?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Hoogte is niet 128 Pixel	
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Hoogte is niet 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Breedte is niet 16 Pixel	
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Breedte is niet 64 Pixel	
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Het spel ondersteunt deze afbeelding niet.	
GUILDMARK_UPLOADER_ERROR_PATH	Plaats de data in de folder metin2/upload	
GUILDMARK_UPLOADER_ERROR_SELECT	Geen afbeelding bestand geselecteerd.	
GUILDVOTE_CHANGEMASTER	Gilde Leider veranderen
GUILDVOTE_CHANGEMASTER_RESULT1	Het gilde is succesvol overgedragen.
GUILDVOTE_CHANGEMASTER_RESULT2	Het gilde [%s] is aan jou overgedragen.
GUILDVOTE_CHANGEMASTER_RESULT3	Gilde overdragen aan lid [%s]
GUILDVOTE_CHANGEMASTER_RESULT4	Stem is ongeldig.
GUILDVOTE_CHANGEMASTER_RESULT5	Nieuwe Gilde Leider: %s
GUILDVOTE_CHANGEMASTER_TEXT1	Wil je het gilde overdragen aan [%s]?
GUILDVOTE_CHANGEMASTER_TEXT2	
GUILDVOTE_CHANGEMASTER_TEXT3	Wil je het leiderschap van het gilde echt opgeven?
GUILDVOTE_CHANGEMASTER_TEXT4	
GUILDVOTE_CHANGEMASTER_VOTETEXT1	Gilde overdragen aan lid [%s]
GUILDVOTE_CHANGEMASTER_VOTETEXT2	Stem je in met de overdracht van gildeleider?
GUILDVOTE_MEMBEROUT	Lid verwijderen
GUILDVOTE_MEMBEROUT_AUTH	Je hebt niet de benodigde machtigingen.
GUILDVOTE_MEMBEROUT_NOMAL	Wil je dit lid echt verwijderen?
GUILDVOTE_MEMBEROUT_RESULT1	Verwijder lid: [%s]
GUILDVOTE_MEMBEROUT_RESULT2	Stemresultaat
GUILDVOTE_MEMBEROUT_RESULT3	Je bent verwijderd uit het gilde [%s].
GUILDVOTE_MEMBEROUT_RESULT4	Stemresultaat
GUILDVOTE_MEMBEROUT_RESULT5	Stem is ongeldig.
GUILDVOTE_MEMBEROUT_TEXT1	Wil je de stemming tegen [%s] starten?
GUILDVOTE_MEMBEROUT_TEXT2	Stem: Verwijder lid uit het gilde?
GUILDVOTE_MEMBEROUT_VOTETEXT1	Stem: Moet [%s] verwijderd worden uit het gilde?
GUILDVOTE_MEMBEROUT_VOTETEXT2	
GUILDVOTE_NO	Tegen
GUILDVOTE_OK	Voor
GUILDVOTE_RESULT_AGGRE_MEMBER	Voor: %d
GUILDVOTE_RESULT_ALL_MEMBER	Deelnemers: %d
GUILDVOTE_RESULT_OPPESE_MEMBER	Tegen: %d
GUILDVOTE_RESULT_TIME	%d dagen %d uren %d minuten %d seconden
GUILDVOTE_SELECT_ONE	Kies a.u.b. een karakter.
GUILDWAR_ALL	Gevechten (G)
GUILDWAR_CTF_TITLE	Verover de Vlag
GUILDWAR_DRAW	Quitte (Q)
GUILDWAR_GAINSCORE_FIFTY	50 punten
GUILDWAR_GAINSCORE_HUNDRED	100 punten
GUILDWAR_GAINSCORE_THIRTY	30 punten
GUILDWAR_GAMETIME_SIXTY	60 minuten
GUILDWAR_GAMETIME_TEN	10 minuten
GUILDWAR_GAMETIME_THIRTY	30 minuten
GUILDWAR_INPUT_OTHERGUILD	Voer a.u.b. het tegengestelde gilde in.
GUILDWAR_LADDER	Rang Punten
GUILDWAR_LIMIT_MEMBER_FIVE	Minimaal 5 deelnemers.
GUILDWAR_LOSE	Verliezen (V)
GUILDWAR_NORMAL_TITLE	Veld Gevecht
GUILDWAR_OVER_MEMBERCOUNT	Je hebt de deelnemerslimiet bereikt.
GUILDWAR_QUESTION_LINE_1	De %s Gilde heeft de oorlog verklaard aan jouw Gilde.	
GUILDWAR_QUESTION_LINE_2	Accepteren?(%s)	
GUILDWAR_RANKING	Rang
GUILDWAR_RECODE_ALL	%d G, %d O, %d V, %d Q
GUILDWAR_SELECT_MEMBER_COUNT	Kies het aantal deelnemers.
GUILDWAR_TYPE_DEFENSE	Schild Gevecht
GUILDWAR_TYPE_TIGER	Vernietiging
GUILDWAR_TYPE_TIME	Tijd Aanval
GUILDWAR_UNKNOWN_TITLE	...	
GUILDWAR_WARP_TITLE	Gilde theater van Oorlog
GUILDWAR_WIN	Overwinningen (O)
GUILDWAR_WIN_FIVE	5 ronden
GUILDWAR_WIN_ONE	1 ronde
GUILDWAR_WIN_THREE	3 ronden
GUILDWINDOW_BUTTON_BANKGOLDINFO	Gilde Warenhuis Log
GUILDWINDOW_BUTTON_BASEABANDON	Gilde Gebied opgeven
GUILDWINDOW_BUTTON_BASEDEAL	Gilde Gebied verkopen
GUILDWINDOW_BUTTON_BASEDEALVOTE	Stemmen
GUILDWINDOW_BUTTON_BOARD	Gilde Berichten
GUILDWINDOW_BUTTON_CHANGEMASTER	Gilde Leider veranderen
GUILDWINDOW_BUTTON_DECLARE	Oorlog verklaren
GUILDWINDOW_BUTTON_DONATE	Doneren
GUILDWINDOW_BUTTON_GOLDIN	Storting
GUILDWINDOW_BUTTON_GOLDOUT	Opname
GUILDWINDOW_BUTTON_GRADE	Machtigingen beheren
GUILDWINDOW_BUTTON_GUILDLIST	Gilde Lijst
GUILDWINDOW_BUTTON_HEALGSP	Herstel Draken God Kracht
GUILDWINDOW_BUTTON_INFO	Gilde Informatie
GUILDWINDOW_BUTTON_LANDINFO	Gebied Informatie
GUILDWINDOW_BUTTON_MARK	Gilde Embleem uploaden
GUILDWINDOW_BUTTON_MEMBER	Lid
GUILDWINDOW_BUTTON_OFFER	ERV doneren
GUILDWINDOW_BUTTON_OUTMEMBER	Lid verwijderen
GUILDWINDOW_BUTTON_SKILL	Gilde Vaardigheden
GUILDWINDOW_BUTTON_SYMBOL	Gilde Vlag uploaden
GUILDWINDOW_BUTTON_VOTECHECK	Stemmen bekijken
GUILDWINDOW_BUY_GUILD_LAND	Land kopen
GUILDWINDOW_CHANGE_BLACKSMITH	Beroep Wijzigen
GUILDWINDOW_CHANGE_OBJECT	Reconstructie
GUILDWINDOW_CHANGE_SMELTER	Oven veranderen
GUILDWINDOW_CREATE_OBJECT	Constructie
GUILDWINDOW_DEAL_GUILD_LAND	Land verkopen
GUILDWINDOW_GRADE_BANK	Mag gildebank en warenhuis gebruiken
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Mag leden verwijderen uit het gilde
GUILDWINDOW_GRADE_GRADENAME	Rang Naam
GUILDWINDOW_GRADE_GRADENUMBER	Rang Nummer
GUILDWINDOW_GRADE_GUILDWAR	Mag leden selecteren als strijders
GUILDWINDOW_GRADE_INVITEAUTHORITY	Mag spelers accepteren voor gilde
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Mag gildeberichten opstellen
GUILDWINDOW_GRADE_SKILLAUTHORITY	Mag gildevaardigheden gebruiken
GUILDWINDOW_INFO_LEVEL10	Verhoogd max. ledenaantal
GUILDWINDOW_INFO_LEVEL15	Kostenred.: Draken God Kr.
GUILDWINDOW_INFO_LEVEL20	Bank: Belastingvrijstelling
GUILDWINDOW_INFO_LEVEL5	+5% ERV naar gildedonaties
GUILDWINDOW_LIST_ALL	Alle Koninkrijken
GUILDWINDOW_LIST_ALREADY_REGISTER	[Gilde] Je hebt je al aangemeld.
GUILDWINDOW_LIST_APPLICANT_LIST	Aanmeldingenlijst
GUILDWINDOW_LIST_CHRACTER_JOB	Klasse
GUILDWINDOW_LIST_CHRACTER_LV	Level
GUILDWINDOW_LIST_CHRACTER_NAME	Karakter Naam
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Subklasse
GUILDWINDOW_LIST_EMPIRE_A	Shinsoo
GUILDWINDOW_LIST_EMPIRE_B	Chunjo
GUILDWINDOW_LIST_EMPIRE_C	Jinno
GUILDWINDOW_LIST_GUILDMEMBER	Lid
GUILDWINDOW_LIST_GUILD_LIST	Gilde Lijst
GUILDWINDOW_LIST_GUILD_LV	Level
GUILDWINDOW_LIST_GUILD_NAME	Gilde
