ACCE_ABSORB_COST	Стоимость поглощения: %d
DETAILS_TOOLTIP_44	Шанс на отражение атак шаманов: снижает получаемый от шаманов урон.
DETAILS_TOOLTIP_45	Шанс на отражение атак ликанов: снижает получаемый от ликанов урон.
DETAILS_TOOLTIP_46	Снижает получаемый от мечей урон.
DETAILS_TOOLTIP_47	Снижает получаемый от двуручного оружия урон.
DETAILS_TOOLTIP_48	Снижает получаемый от кинжалов урон.
DETAILS_TOOLTIP_49	Снижает получаемый от когтей урон.
DETAILS_TOOLTIP_5	Сила против монстров: вы наносите больше урона монстрам.
DETAILS_TOOLTIP_50	Снижает получаемый от колокольчиков урон.
DETAILS_TOOLTIP_51	Снижает получаемый от вееров урон.
DETAILS_TOOLTIP_52	Снижает получаемый от луков и стрел урон.
DETAILS_TOOLTIP_53	Повышает шанс устроить врагу головокружение.
DETAILS_TOOLTIP_54	Повышает шанс замедлить врага.
DETAILS_TOOLTIP_55	Повышает шанс отравить врага.
DETAILS_TOOLTIP_56	Снижает получаемый от яда урон.
DETAILS_TOOLTIP_57	Повышает шанс провести атаку с кровотечением.
DETAILS_TOOLTIP_58	Сопротивляемость атакам с кровотечением: снижает получаемый от атак с кровотечением урон.
DETAILS_TOOLTIP_59	Попадая по врагу, вы крадете его ХП.
DETAILS_TOOLTIP_6	Сила против зодиак-монстров: вы наносите больше урона зодиак-монстрам.
DETAILS_TOOLTIP_60	Попадая по врагу, вы крадете его МП.
DETAILS_TOOLTIP_61	Ускоряет восстановление ваших очков жизненной энергии (ХП).
DETAILS_TOOLTIP_62	Ускоряет восстановление ваших очков маны (МП).
DETAILS_TOOLTIP_63	Шанс поставить блок физической атаке: повышает шанс избежать физической атаки противника.
DETAILS_TOOLTIP_64	Шанс увернуться от стрелы: повышает шанс избежать стрелы или дальней атаки монстра.
DETAILS_TOOLTIP_65	Шанс отразить физическую атаку противника: часть урона от физической атаки врага перейдет на него самого.
DETAILS_TOOLTIP_66	Восстановление ХП при убийстве: вы получаете очки жизненной энергии за убийства врагов.
DETAILS_TOOLTIP_67	Восстановление МП при убийстве: вы получаете очки маны за убийства врагов.
DETAILS_TOOLTIP_68	Шанс получить вдвое больше опыта: повышает шанс на бонусный опыт при победе над противником.
DETAILS_TOOLTIP_69	Шанс получить вдвое больше янг: повышает вероятность получить вдвое больше янг в добыче.
DETAILS_TOOLTIP_7	Сила против зверей: вы наносите больше урона диким зверям.
DETAILS_TOOLTIP_70	Шанс на выпадание предметов: повышает шанс получить вдвое больше предметов в добыче.
DETAILS_TOOLTIP_71	Повышает показатель атаки.
DETAILS_TOOLTIP_72	Повышает показатель защиты.
DETAILS_TOOLTIP_73	Повышает сбор опыта.
DETAILS_TOOLTIP_74	Шанс на выпадание предметов: повышает ваши шансы добыть предметы.
DETAILS_TOOLTIP_75	Шанс на выпадание янг: повышает ваши шансы получить янг в добыче.
DETAILS_TOOLTIP_76	Снижает урон, получаемый при магической атаке.
DETAILS_TOOLTIP_77	Снижает сопротивляемость магии вашего противника.
DETAILS_TOOLTIP_8	Сила против мистиков: вы наносите больше урона мистикам.
DETAILS_TOOLTIP_9	Сила против дьяволов: вы наносите больше урона дьяволам.
DETAILS_TOOLTIP_ATTBONUS_BELL	Надлом защиты от удара колокольчиком: снижает защиту вашего противника от удара колокольчиком.
DETAILS_TOOLTIP_ATTBONUS_BOW	Надлом защиты от удара стрелой: снижает защиту вашего противника от удара стрелой.
DETAILS_TOOLTIP_ATTBONUS_CLAW	Надлом защиты от удара когтем: снижает защиту вашего противника от удара когтем.
DETAILS_TOOLTIP_ATTBONUS_DAGGER	Надлом защиты от удара кинжалом: снижает защиту вашего противника от удара кинжалом.
DETAILS_TOOLTIP_ATTBONUS_FAN	Надлом защиты от удара веером: снижает защиту вашего противника от удара веером.
DETAILS_TOOLTIP_ATTBONUS_SWORD	Надлом защиты от удара мечом: снижает защиту вашего противника от удара мечом.
DETAILS_TOOLTIP_ATTBONUS_TWOHAND	Надлом защиты от удара двуручным оружием: снижает защиту вашего противника от удара двуручным оружием.
DETAILS_TOOLTIP_RESIST_MOUNT_FALL	Сопротивляемость падению: уменьшает вероятность упасть с ездового животного.
DONT_USE_ITEM_WHEN_SHOW_CONFIRM	Во время запроса невозможно перемещать предметы.
DO_NOT_INSERT_UPBRINGING_PET	Нельзя выбрать активного питомца.
DO_YOU_BUY_ITEM1	Купить %s за %s янг?
DO_YOU_BUY_ITEM2	Купить %s (%s шт.) за %s янг?
DO_YOU_BUY_ITEM3	Купить %s за %s вон и %s янг?
DO_YOU_BUY_ITEM4	Купить %s (%s штук) за %s вон и %s янг?
DO_YOU_DROP_MONEY	Хотите выбросить %d янг?
DO_YOU_SELL_ITEM1	Продать %s за %s янг?
DO_YOU_SELL_ITEM2	Продать %s (%s шт.) за %s янг?
DRAGON_SOUL_CANNOT_REFINE	Улучшение этого Камня Дракона невозможно.
DRAGON_SOUL_CANNOT_REFINE_MORE	Этот Камень Дракона уже достиг наивысшего уровня.
DRAGON_SOUL_EQUIP_WARNING1	Удаление Камня Дракона, сложный процесс.
DRAGON_SOUL_EQUIP_WARNING2	И все же вы желаете попробовать?
DRAGON_SOUL_EXPIRED	Использованный Камень Дракона
DRAGON_SOUL_INVALID_DRAGON_SOUL	Это не тот Камень Дракона.
DRAGON_SOUL_IS_NOT_DRAGON_SOUL	Это не Камень Дракона.
DRAGON_SOUL_NOT_DRAGON_SOUL_REFINE_STONE	Это не тот Камень Дракона.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL	У вас недостаточно материалов для улучшения.
DRAGON_SOUL_NOT_ENOUGH_MATERIAL2	Для ваш. %s\n нужно: %s %dx
DRAGON_SOUL_NOT_ENOUGH_MONEY	У вас не хватает янг, чтобы сменить бонус.
DRAGON_SOUL_NOT_MATCHED_SLOT	Камень Дракона не помещается в эту ячейку.
DRAGON_SOUL_STEP_LEVEL1	Чистота: матовый.
DRAGON_SOUL_STEP_LEVEL2	Чистота: прозрачный.
DRAGON_SOUL_STEP_LEVEL3	Чистота: безупречный.
DRAGON_SOUL_STEP_LEVEL4	Чистота: бриллиантовый.
DRAGON_SOUL_STEP_LEVEL5	Чистота: великолепный.
DRAGON_SOUL_STRENGTH	Уровень: +%d 	SA
DRAGON_SOUL_UNEQUIP_WARNING1	Камень Дракона может быть уничтожен.
DRAGON_SOUL_UNEQUIP_WARNING2	И все же вы желаете попробовать?
DRAGON_SOUL_UNMATCHED_SLOT	Это не та ячейка.
DRAGON_SOUL_UNQUALIFIED	Вы пока не можете использовать алхимию Дракона.
DROP_ITEM_FAILURE_EQUIP_ITEM	Вы не можете выбросить снаряженный предмет.
DROP_ITEM_FAILURE_PRIVATE_SHOP	Вы не можете выбросить снаряженный предмет во время открытия лавки.
DROP_MONEY_FAILURE_1000_OVER	Вы можете выбросить не больше 999 янг.
DS_SYSTEM_MSG_1	Вам нужно %s %d раз(а).
DUTCH_AUCTION_CLOSE_OTHER_WINDOW	Прежде чем открыть блиц-аукцион, закройте все окна.
EMOTION_ALCOHOL	Ваше здоровье!
EMOTION_ANGRY	Досада
EMOTION_ATTRACTIVE	Соблазнение
EMOTION_BANTER	Ирония
EMOTION_BUSY	Стресс
EMOTION_CALL	Звонок
EMOTION_CELEBRATION	Вечеринка
EMOTION_CHARGING	Зарядка
EMOTION_CHEERS_1	Ликование
EMOTION_CHEERS_2	Ликование 2
EMOTION_CHEERUP	Ликование
EMOTION_CHOOSE_ONE	Выберите цель.
EMOTION_CLAP	Апплодисмент
EMOTION_CLAP_KISS	Поцелуй
EMOTION_CONGRATULATION	Одобрение
EMOTION_DANCE_1	Танец 1
EMOTION_DANCE_2	Танец 2
EMOTION_DANCE_3	Танец 3
EMOTION_DANCE_4	Танец 4
EMOTION_DANCE_5	Танец 5
EMOTION_DANCE_6	Gumsan Style
EMOTION_DANCE_7	Самба
EMOTION_DOZE	Дремота
EMOTION_EXERCISE	Разминка
EMOTION_FORGIVE	Мольба о прощении
EMOTION_FRENCH_KISS	Поцелуй языками
EMOTION_HUNGRY	Голод
EMOTION_JOY	Радость
EMOTION_LETTER	Письмо
EMOTION_NOSAY	Нет слов
EMOTION_PUSH_UP	Отжимания
EMOTION_SAD	Печаль
EMOTION_SELFIE	Селфи
EMOTION_SHY	Отказ
EMOTION_SIREN	Сирена
EMOTION_SLAP	Удар
EMOTION_WEATHER_1	Солнце
EMOTION_WEATHER_2	Радуга
EMOTION_WEATHER_3	Луна
EMOTION_WHIRL	Путаница
EMPIRE_A	Империя Шиньзо
EMPIRE_B	Империя Хунджо
EMPIRE_C	Империя Джинно
EMPIRE_SELECT_MODE	Выбор империи
EXCHANGE_CANNOT_GIVE	Торговать этим предметом нельзя.
EXCHANGE_CANT_EDIT_MONEY	Изменить стоимость в данный момент невозможно.
EXCHANGE_FAILURE_EQUIP_ITEM	Вы не можете сменить используемые предметы..
EXCHANGE_MONEY	Стоимость
EXCHANGE_TITLE	Произвести сделку с %s (%d)
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	Вам требуется еще %d расширение(-я, -ий) инвентаря.
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Ваш инвентарь уже расширен до максимальных размеров.
EXINVEN_USE_ITEM_QUESTION	Хотите увеличить инвентарь, используя %d расширение (-я, -ий) инвентаря?
FINDM_BUTTON_01	Забрать
FINDM_BUTTON_02	Улучшить
FINDM_POPUP_01	У вас есть не все предметы для запуска игры.
FINDM_POPUP_02	У вас не хватает %s.
FINDM_POPUP_03	Это больше нельзя использовать.
FINDM_POPUP_04	Это уже лучшая награда.
FINDM_POPUP_05	Слишком мало янг для мини-игры.
FINDM_POPUP_06	Три карты откроются автоматические, если вы не откроете их через %d сек.
FINDM_QUESTION_01	Будут использованы %d янг и %s.\nХотите продолжить?
FINDM_QUESTION_02	Хотите попробовать еще раз и использовать %s %d?
FINDM_QUESTION_03	Награда: %s
FINDM_QUESTION_04	Новая попытка? При неудаче вам останется текущая награда.
FINDM_QUESTION_05	Закончить игру и получить награду?
FINDM_TOOLTIP_01	Если вы не откроете три карты за отведенное время, они откроются автоматически.
FISHING_FAILURE	Вы потеряли наживку.
FISHING_NOTIFY1	Похоже, что %s клюнула.
FISHING_NOTIFY2	Похоже, что %s поймана.
FISHING_RENEWAL_CANNOT_EMOTION	Вы не можете пользоваться эмоциями, пока рыбачите.
FISHING_RENEWAL_CANNOT_OPEN_1	Нельзя открыть, пока вы рыбачите.
FISHING_RENEWAL_CANNOT_OPEN_2	Вы не можете выполнить это действие, пока рыбачите.
FISHING_RENEWAL_QUESTION	Рыба клюнула. Хотите ее поймать?
FISHING_RENEWAL_TIMEOUT	Вы промедлили. Рыба ушла.
FISHING_SUCCESS1	Вы поймали %s!
FISHING_SUCCESS2	%s принадлежит вам!
FISHING_UNKNOWN	Я немогу разглядеть что я поймал.
FISHING_WRONG_PLACE	Я не могу здесь рыбачить.
FLOWER_EVENT_USE_ITEM_TEXT1	Хотите заменить активированный эффект?
FLOWER_EVENT_USE_ITEM_TEXT2	Попытка может провалиться, а цветок при этом завянет.
FOR_FEMALE	Для женщин
FOR_MALE	Для мужчин
FRAGMENT_COMB_COST	Стоимость сочетания: %s
GAME_CANNOT_MINING	Сбор руды невозможен, пока вы на коне.
GAME_CANNOT_PICK_ITEM	Забрать предмет невозможно, поскольку он был захвачен не вами.
GAME_GUILDWAR_NOW_JOIN	Хотите присоединиться к войне гильдий?
GAME_INIT_ERROR_CURSOR	Курсор не установлен.
GAME_INIT_ERROR_DIRECTX	Для игры необходимо установить DirectX 8.1. \nУстановите DirectX версии 8.1 или выше.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Видеоадаптер не найден. \nПроверьте правильность установки видеокарты.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Видеоадаптер не установлен.\nПроверьте, вставлена ли видеокарта.\nЛибо включите аппаратное ускорение.\n(Установите ползунок аппаратного ускорения на максимум в \nПанель управления - Экран - Параметры - Дополнительно - Диагностика)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Ваша видеокарта не поддерживает 32-битную цветопередачу в оконном режиме. \nУстановите 16-битную цветопередачу или полноэкранный режим.
GAME_INIT_ERROR_ITEM_PROTO	Не найдены данные о предметах. \nПереустановите игру.
GAME_INIT_ERROR_MAIN_WINDOW	Приложение вызвало ошибку и будет закрыто.
GAME_INIT_ERROR_MOB_PROTO	Не найдены данные о существах. \nПереустановите игру.
GAME_INIT_ERROR_NETWORK	Сетевые устройства не установлены. \nПроверьте соединение с интернетом.
GAME_PICK_MONEY	Вы получили %d янг.
GEM_SYSTEM_ADD_SLOT	Требуется предмет: %s.\nХотите использовать %d таких, чтобы открыть еще одно место?
GEM_SYSTEM_BUY_ITEM	Хотите купить этот предмет?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] У вас недостаточно «Сбросить биржу Gaya».
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] У вас недостаточно Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Больше мест открывать нельзя.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Сначала откройте биржу Gaya.
GEM_SYSTEM_PICK_GEM	[Gaya] Число Gaya: %d
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Хотите сбросить?
GIVEUP_QUESTION	Вы точно хотите отказаться?
GUILDBANK_CLEARBANK	Внимание! Склад гильдии должен быть пуст!
GUILDBANK_DONT_MONEY_OUT	В банке гильдии нет ни янга!
GUILDBANK_GOLD_IN	Внесение
GUILDBANK_GOLD_OUT	Выплата
GUILDBANK_ITEM_IN	Положить
GUILDBANK_ITEM_OUT	Забрать
GUILDBANK_MONEYIN	Внести янг
GUILDBANK_MONEYOUT	Получить янг
GUILDBANK_NOTUSE	У вас не хватает для этого прав.
GUILDBANK_NOT_ENOUGH_MONEY	У вас не хватает янг для внесения.
GUILDBANK_OVER_INCOME	Достигнут лимит по счету.
GUILDBANK_OVER_MONEY	Счет гильдии полон.
GUILDLAND_ABANDON	Отказаться от земли гильдии
GUILDLAND_ABANDON_VOTE	Отказаться от земли вашей гильдии [%s]
GUILDLAND_ABANDON_VOTE_RESULT1	Земля гильдии [%s] была оставлена.
GUILDLAND_ABANDON_VOTE_RESULT2	Земля гильдии была оставлена.
GUILDLAND_ABANDON_VOTE_RESULT3	Результаты опроса:
GUILDLAND_ABANDON_VOTE_RESULT4	Опрос недействителен.
GUILDLAND_ABANDON_VOTE_TEXT	Вы точно хотите начать опрос?
GUILDLAND_ABANDON_VOTE_TEXT1	Вы голосуете за то, чтобы оставить землю гильдии?
GUILDLAND_ACCEPT	Да
GUILDLAND_DEAL	Продать землю гильдии
GUILDLAND_DEAL_TEXT1	Гильдия [%s] хочет продать свою землю
GUILDLAND_DEAL_TEXT2	гильдии за [%s] янг.
GUILDLAND_DEAL_TEXT3	Принимаете предложение?
GUILDLAND_DELA_VOTE	Гильдия [%s] хочет купить нашу землю.
GUILDLAND_DELA_VOTE_RESULT1	Продажа земли гильдии [%s]
GUILDLAND_DELA_VOTE_RESULT2	Опрос закончен.
GUILDLAND_DELA_VOTE_RESULT3	Результаты опроса по продаже земли:
GUILDLAND_DELA_VOTE_RESULT4	Опрос недействителен.
GUILDLAND_DELA_VOTE_TEXT	Какой гильдии вы хотите продать землю?
GUILDLAND_DELA_VOTE_TEXT1	Согласны ли вы с продажей земли?
GUILDLAND_DONTHAVE_LAND	У вас нет земли гильдии.
GUILDLAND_NOT	Нет
GUILDLAND_VOTE_TEXT	Хотите отдать землю [%s]?
GUILDLIST_APPLICANT	Хотите стать претендентом?
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Высота изображения не 128 пикселей.
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Высота изображения не 12 пикселей.
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Ширина изображения не 16 пикселей.
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Ширина изображения не 64 пикселей
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Игра не поддерживает данное изображение.
GUILDMARK_UPLOADER_ERROR_PATH	Скопируйте файлы в папку metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Файл изображения не выбран.
GUILDVOTE_CHANGEMASTER	Сменить Лидера гильдии
GUILDVOTE_CHANGEMASTER_RESULT1	Гильдия передана в новые руки.
GUILDVOTE_CHANGEMASTER_RESULT2	Вы получили в управление гильдию [%s].
GUILDVOTE_CHANGEMASTER_RESULT3	Передача гильдии участнику [%s]
GUILDVOTE_CHANGEMASTER_RESULT4	Опрос недействителен.
GUILDVOTE_CHANGEMASTER_RESULT5	Новый лидер гильдии: %s
GUILDVOTE_CHANGEMASTER_TEXT1	Хотите передать гильдию участнику %s?
GUILDVOTE_CHANGEMASTER_TEXT2	
GUILDVOTE_CHANGEMASTER_TEXT3	Вы точно хотите отказаться от управления гильдией?
GUILDVOTE_CHANGEMASTER_TEXT4	
GUILDVOTE_CHANGEMASTER_VOTETEXT1	Передача гильдии участнику [%s]
GUILDVOTE_CHANGEMASTER_VOTETEXT2	Согласны ли вы с передачей гильдии?
GUILDVOTE_MEMBEROUT	Исключение участника
GUILDVOTE_MEMBEROUT_AUTH	У вас не хватает для этого прав.
GUILDVOTE_MEMBEROUT_NOMAL	Вы точно хотите исключить участника?
GUILDVOTE_MEMBEROUT_RESULT1	Исключение участника: [%s]
GUILDVOTE_MEMBEROUT_RESULT2	Результаты опроса
GUILDVOTE_MEMBEROUT_RESULT3	Вас исключили из гильдии [%s].
GUILDVOTE_MEMBEROUT_RESULT4	Результаты опроса
GUILDVOTE_MEMBEROUT_RESULT5	Опрос недействителен.
GUILDVOTE_MEMBEROUT_TEXT1	Хотите начать опрос против [%s]?
GUILDVOTE_MEMBEROUT_TEXT2	Опрос: удалить участника из гильдии?
GUILDVOTE_MEMBEROUT_VOTETEXT1	Опрос: нужно ли исключить [%s] из гильдии?
GUILDVOTE_MEMBEROUT_VOTETEXT2	
GUILDVOTE_NO	Против
GUILDVOTE_OK	За
GUILDVOTE_RESULT_AGGRE_MEMBER	За: %d
GUILDVOTE_RESULT_ALL_MEMBER	Участников: %d
GUILDVOTE_RESULT_OPPESE_MEMBER	Против: %d
GUILDVOTE_RESULT_TIME	%d д. %d ч. %d м. %d с.
GUILDVOTE_SELECT_ONE	Выберите персонажа.
GUILDWAR_ALL	Сражения (С)
GUILDWAR_CTF_TITLE	Сражение за флаги
GUILDWAR_DRAW	Ничьи (Н)
GUILDWAR_GAINSCORE_FIFTY	50 очков
GUILDWAR_GAINSCORE_HUNDRED	100 очков
GUILDWAR_GAINSCORE_THIRTY	30 очков
GUILDWAR_GAMETIME_SIXTY	60 минут
GUILDWAR_GAMETIME_TEN	10 минут
GUILDWAR_GAMETIME_THIRTY	30 минут
GUILDWAR_INPUT_OTHERGUILD	Введите имя гильдии-соперника.
GUILDWAR_LADDER	Очки ранга
GUILDWAR_LIMIT_MEMBER_FIVE	Минимальное число участников: 5
GUILDWAR_LOSE	Поражения (П)
GUILDWAR_NORMAL_TITLE	Поле битвы
GUILDWAR_OVER_MEMBERCOUNT	У вас макс. число участников.
GUILDWAR_QUESTION_LINE_1	Гильдия %s объявила войну вашей гильдии.
GUILDWAR_QUESTION_LINE_2	Принять? (%s)
GUILDWAR_RANKING	Ранг
GUILDWAR_RECODE_ALL	%d С, %d В, %d П, %d Н
GUILDWAR_SELECT_MEMBER_COUNT	Выберите число участников.
GUILDWAR_TYPE_DEFENSE	Защита объекта
GUILDWAR_TYPE_TIGER	Уничтожение
GUILDWAR_TYPE_TIME	Гонка за победой
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	Арена войны гильдий
GUILDWAR_WIN	Выигрыши (В)
GUILDWAR_WIN_FIVE	Пять раундов
GUILDWAR_WIN_ONE	Один раунд
GUILDWAR_WIN_THREE	Три раунда
GUILDWINDOW_BUTTON_BANKGOLDINFO	Журнал склада гильдии
GUILDWINDOW_BUTTON_BASEABANDON	Отказаться от земли гильдии
GUILDWINDOW_BUTTON_BASEDEAL	Продать землю гильдии
GUILDWINDOW_BUTTON_BASEDEALVOTE	Опрос
GUILDWINDOW_BUTTON_BOARD	Заметки гильдии
GUILDWINDOW_BUTTON_CHANGEMASTER	Сменить Лидера гильдии
GUILDWINDOW_BUTTON_DECLARE	Объявление войны
GUILDWINDOW_BUTTON_DONATE	Взнос
GUILDWINDOW_BUTTON_GOLDIN	Внесение
GUILDWINDOW_BUTTON_GOLDOUT	Выплата
GUILDWINDOW_BUTTON_GRADE	Управление правами
GUILDWINDOW_BUTTON_GUILDLIST	Список гильдий
GUILDWINDOW_BUTTON_HEALGSP	Восстановить Мощь дракона
GUILDWINDOW_BUTTON_INFO	Информация о гильдии
GUILDWINDOW_BUTTON_LANDINFO	Информация о земле
GUILDWINDOW_BUTTON_MARK	Загрузить символ гильдии
GUILDWINDOW_BUTTON_MEMBER	Участники
GUILDWINDOW_BUTTON_OFFER	Потратить опыт
GUILDWINDOW_BUTTON_OUTMEMBER	Исключение участника
GUILDWINDOW_BUTTON_SKILL	Навыки гильдии
GUILDWINDOW_BUTTON_SYMBOL	Загрузить флаг гильдии
GUILDWINDOW_BUTTON_VOTECHECK	Проверить опрос
GUILDWINDOW_BUY_GUILD_LAND	Купить землю
GUILDWINDOW_CHANGE_BLACKSMITH	Изменить профессию
GUILDWINDOW_CHANGE_OBJECT	Переустройство
GUILDWINDOW_CHANGE_SMELTER	Сменить печь
GUILDWINDOW_CREATE_OBJECT	Строительство
GUILDWINDOW_DEAL_GUILD_LAND	Продать землю
GUILDWINDOW_GRADE_BANK	Может использовать банк и склад гильдии
GUILDWINDOW_GRADE_DRIVEOUTAUTHORITY	Может исключать участников из гильдии
GUILDWINDOW_GRADE_GRADENAME	Имя в ранге
GUILDWINDOW_GRADE_GRADENUMBER	Номер в ранге
GUILDWINDOW_GRADE_GUILDWAR	Может выбирать тех участников, кто сможет участвовать в сражениях
GUILDWINDOW_GRADE_INVITEAUTHORITY	Может принимать игроков в гильдию
GUILDWINDOW_GRADE_NOTICEAUTHORITY	Может прикреплять заметки гильдии
GUILDWINDOW_GRADE_SKILLAUTHORITY	Может использовать навыки гильдии
GUILDWINDOW_INFO_LEVEL10	Повышает макс. число участ.
GUILDWINDOW_INFO_LEVEL15	Скидка: Мощь дракона
GUILDWINDOW_INFO_LEVEL20	Банк: освобожд. от налогов
GUILDWINDOW_INFO_LEVEL5	+5% опыта за взнос в гильд.
GUILDWINDOW_LIST_ALL	Все империи
GUILDWINDOW_LIST_ALREADY_REGISTER	[Гильдия] Вы уже в претендентах.
GUILDWINDOW_LIST_APPLICANT_LIST	Список претендентов
GUILDWINDOW_LIST_CHRACTER_JOB	Класс
GUILDWINDOW_LIST_CHRACTER_LV	Уровень
GUILDWINDOW_LIST_CHRACTER_NAME	Имя персонажа
GUILDWINDOW_LIST_CHRACTER_SUB_JOB	Учение
GUILDWINDOW_LIST_EMPIRE_A	Шиньзо
GUILDWINDOW_LIST_EMPIRE_B	Хунджо
GUILDWINDOW_LIST_EMPIRE_C	Джинно
GUILDWINDOW_LIST_GUILDMEMBER	Участники
GUILDWINDOW_LIST_GUILD_LIST	Список гильдий
GUILDWINDOW_LIST_GUILD_LV	Уровень
GUILDWINDOW_LIST_GUILD_NAME	Гильдия
GUILDWINDOW_LIST_INPUT_GUILDNAME	[Гильдия] Введите имя гильдии.
GUILDWINDOW_LIST_LADDER	Очки ранга
GUILDWINDOW_LIST_NOTPROMOTEGUILD	[Гильдия] У этой гильдии нет объявлений.
GUILDWINDOW_LIST_PROMOTE_GUILD	Заявка
GUILDWINDOW_LIST_PROMOTE_GUILD_LIST	Список гильдий
GUILDWINDOW_LIST_RANKING	Положение
GUILDWINDOW_LIST_RANKING_COUNT	Положение
GUILDWINDOW_LIST_REGISTER	Заявки
GUILDWINDOW_LIST_REGISTER_GUILD	Подать заявку на вступление в гильдию
GUILDWINDOW_LIST_SEARCH	Поиск
GUILDWINDOW_LIST_SELECT_GUILD	[Гильдия] Выберите гильдию, в которую хотите подать заявку.
GUILDWINDOW_PROMOTE_REFRESH	Реклама
GUILDWINDOW_PROMOTE_REGISTER	Реклама
GUILDWINDOW_SP_RECOVER	Мощь Дракона
GUILDWINDOW_UPGRADE_ALTEROFPOWER	Расширить алтарь
GUILDWINDOW_UPGRADE_GUILDBANK	Расширить банк
GUILD_ATTENDANCE_FAIL_ALREADY	Сегодня вы уже участвовали.
GUILD_ATTENDANCE_FAIL_JOIN_TIME	Сейчас вы не можете участвовать. Участие сбрасывается каждый день в 5:00.
GUILD_BANKINFO_CLOSE	Закрыть
GUILD_BANKINFO_NAME	Участник
GUILD_BANKINFO_TYPE	Предмет/Валюта
GUILD_BANKINFO_USETYPE	Действие
GUILD_BANK_CLOSE	Закрыть
GUILD_BANK_INFO	Журнал склада гильдии
GUILD_BOARD_ID	Участник
GUILD_BOARD_TEXT	Сообщение
GUILD_BUILDING_FIX_CHANGE	Вы точно хотите изменить положение?
GUILD_BUILDING_FIX_CHANGE_GOLD	Стоимость: 1 000 000 янг
GUILD_BUILDING_FIX_DELETE	Вы точно хотите удалить объект?
GUILD_BUILDING_FIX_NEED_BUILDING	Нет зданий.
GUILD_BUILDING_GRADE	Ранг
GUILD_BUILDING_NAME	Название здания
GUILD_CANNOT_HEAL_GSP_ANYMORE	Энергия Духа Дракона полностью востановлена.
GUILD_COMMENT	Писать
GUILD_CREATE_ERROR_INSULT_NAME	Имя гильдии недопустимо.
GUILD_DEFAULT_GRADE	Член гильдии
GUILD_DELETE	Удалить
GUILD_DEPOSIT	Отложить
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	У вас не хватает купонов на высокий взнос.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	Ваш инвентарь полон. Вы не можете делать взнос.
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	Ваш персонаж должен достигнуть как минимум 30 уровня.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	У вас не хватает купонов на средний взнос.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Не хватает янг.
GUILD_DONATE_FAIL_TIME	До 24 часов!
GUILD_DONATE_QUESTION_HIGH	Вы хотите сделать большой взнос?
GUILD_DONATE_QUESTION_MIDDLE	Вы хотите сделать средний взнос?
GUILD_DONATE_QUESTION_NORMAL	Вы хотите сделать малый взнос?
GUILD_DO_YOU_HEAL_GSP	Желаете восстановить за %d янг %d Духа Дракона?
GUILD_DO_YOU_JOIN	 хотите присоединиться к гильдии?
GUILD_DRAGONLAIR_MIN	Мин.
GUILD_DRAGONLAIR_PARTY_ALL	Общий список лучших
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	С 11 места: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Помощь
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1 место: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	4-10 места: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	2-3 места: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Участники
GUILD_DRAGONLAIR_PARTY_NOW	Список лучших за неделю
GUILD_DRAGONLAIR_PARTY_PAST	Прошлый список лучших
GUILD_DRAGONLAIR_PARTY_TIME	Время
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Награда
GUILD_DRAGONLAIR_RANKING_FAIL	НЕУДАЧА
GUILD_DRAGONLAIR_RANKING_NONE	НОВ.
GUILD_DRAGONLAIR_RANKING_SUCCESS	УСПЕХ
